Summary
Name,"Ampoule (4-29-16) NO2-Ph-N2-OTs V3 PK2.rslt"
Start time,2016 апр 29 - 11:07
End time,2016 май 01 - 22:14
Operator,"Alex"
Results file path,"C:\Users\S\Documents\Diazo\Ampoule (4-29-16) NO2-Ph-N2-OTs V3 PK2.rslt"
General Experiment Info
Bath temperature,85°C
,Sample - Ch 1
Total mass,10mg
Name,"NO2-Ph-N2-OTs V3 PK2"
,Component - NO2-Ph-N2-OTs
Mass,10mg
Name,"NO2-Ph-N2-OTs"
Physical shape,"Powder"
Preparation,"2 perekrist"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Time markers"
-1844.94392824173,84.9999998882339,NaN,NaN,NaN,NaN,""
-1844.24472546577,84.9999998980504,-2.65440233200766E-08,NaN,-2.65440233200766E-06,NaN,""
-1809.47431182861,85.0000003862127,-2.53915306229296E-08,NaN,-2.53915306229296E-06,NaN,""
-1791.73956179619,85.0000000267959,-2.40082298975537E-08,NaN,-2.40082298975537E-06,NaN,""
-1774.0046954155,84.9999996673768,-2.25922765272279E-08,NaN,-2.25922765272279E-06,NaN,""
-1756.26994538307,84.9999999094297,-2.12011083175476E-08,NaN,-2.12011083175476E-06,NaN,""
-1738.53507900238,85.0000001514841,-1.98109475298692E-08,NaN,-1.98109475298692E-06,NaN,""
-1720.80032896996,85.0000002617821,-1.85606760552292E-08,NaN,-1.85606760552292E-06,NaN,""
-1703.06546258926,85.0000003720809,-1.7316134638169E-08,NaN,-1.7316134638169E-06,NaN,""
-1685.33071255684,85.0000000818424,-1.69397554145562E-08,NaN,-1.69397554145562E-06,NaN,""
-1667.59584617615,84.9999997916021,-1.65989815514762E-08,NaN,-1.65989815514762E-06,NaN,""
-1649.86109614372,84.9999999742601,-1.5943932926667E-08,NaN,-1.5943932926667E-06,NaN,""
-1632.12622976303,85.0000001569193,-1.52759919895847E-08,NaN,-1.52759919895847E-06,NaN,""
-1614.39147973061,85.0000002654017,-1.23830739300239E-08,NaN,-1.23830739300239E-06,NaN,""
-1596.65661334991,85.0000003738848,-9.39890968346315E-09,NaN,-9.39890968346315E-07,NaN,""
-1578.92186331749,85.0000002608076,-8.29164310931993E-09,NaN,-8.29164310931993E-07,NaN,""
-1561.1869969368,85.0000001477295,-7.26131043159853E-09,NaN,-7.26131043159853E-07,NaN,""
-1543.45224690437,84.999999904149,-6.42709128557237E-09,NaN,-6.42709128557237E-07,NaN,""
-1525.71738052368,84.9999996605669,-5.60090451738685E-09,NaN,-5.60090451738685E-07,NaN,""
-1507.98263049126,84.9999998584893,-5.54308661542432E-09,NaN,-5.54308661542432E-07,NaN,""
-1490.24776411057,85.0000000564129,-5.51675586091203E-09,NaN,-5.51675586091203E-07,NaN,""
-1472.51301407814,85.0000001578279,-4.49716356145683E-09,NaN,-4.49716356145683E-07,NaN,""
-1454.77814769745,85.0000002592435,-3.43686777846254E-09,NaN,-3.43686777846254E-07,NaN,""
-1437.04339766502,85.0000001438047,-3.12739638965159E-09,NaN,-3.12739638965159E-07,NaN,""
-1419.30853128433,85.0000000283651,-2.84868078677459E-09,NaN,-2.84868078677459E-07,NaN,""
-1401.57378125191,84.9999999744208,-2.39233159562744E-09,NaN,-2.39233159562744E-07,NaN,""
-1383.83891487122,84.9999999204762,-1.92870370138743E-09,NaN,-1.92870370138743E-07,NaN,""
-1366.10416483879,84.9999999358714,-2.10713565360638E-09,NaN,-2.10713565360638E-07,NaN,""
-1348.3692984581,84.9999999512667,-2.31186199126264E-09,NaN,-2.31186199126264E-07,NaN,""
-1330.63454842567,84.99999988104,-2.83151620405676E-09,NaN,-2.83151620405676E-07,NaN,""
-1312.89968204498,84.9999998108128,-3.36406842369611E-09,NaN,-3.36406842369611E-07,NaN,""
-1295.16493201256,84.9999997594891,-4.67626055399886E-09,NaN,-4.67626055399886E-07,NaN,""
-1277.43006563187,84.9999997081651,-6.0203778062911E-09,NaN,-6.0203778062911E-07,NaN,""
-1259.69531559944,84.9999999194438,-7.53796266777784E-09,NaN,-7.53796266777784E-07,NaN,""
-1241.96044921875,85.0000001307238,-9.0626579125846E-09,NaN,-9.0626579125846E-07,NaN,""
-1224.22569918633,85.0000000752691,-1.04977443061202E-08,NaN,-1.04977443061202E-06,NaN,""
-1206.49083280563,85.0000000198142,-1.19291734526831E-08,NaN,-1.19291734526831E-06,NaN,""
-1188.75608277321,84.9999999644301,-1.25840571790428E-08,NaN,-1.25840571790428E-06,NaN,""
-1171.02121639252,84.9999999090458,-1.32071724672861E-08,NaN,-1.32071724672861E-06,NaN,""
-1153.28646636009,84.999999986449,-1.36580013389942E-08,NaN,-1.36580013389942E-06,NaN,""
-1135.5515999794,85.0000000638528,-1.41017852922709E-08,NaN,-1.41017852922709E-06,NaN,""
-1117.81684994698,85.000000039205,-1.41398582757399E-08,NaN,-1.41398582757399E-06,NaN,""
-1100.08198356628,85.000000014557,-1.41613373388967E-08,NaN,-1.41613373388967E-06,NaN,""
-1082.34723353386,84.9999998979697,-1.27480173699472E-08,NaN,-1.27480173699472E-06,NaN,""
-1064.61236715317,84.9999997813816,-1.12760125403054E-08,NaN,-1.12760125403054E-06,NaN,""
-1046.87761712074,85.0000000101679,-8.95351273470861E-09,NaN,-8.95351273470861E-07,NaN,""
-1029.14275074005,85.0000002389556,-6.59622265435747E-09,NaN,-6.59622265435747E-07,NaN,""
-1011.40800070763,84.9999999590701,-5.18174220600822E-09,NaN,-5.18174220600822E-07,NaN,""
