Name; A0; P0; k; dH; C0
4-NO2C6H4N2+ TsO- 85 Sample3 R2 Nitrogen 5-13-16 ; 3.1123 ; 14.375 ; 0.08601 ; 244.1 ; 2.20e-5 
4-NO2C6H4N2+ TsO- 85 Sample3 R2 Nitrogen 5-17-16 ; 3.1123 ; 8.2483 ; 0.08475 ; 238.3 ; 1.31e-5 
4-NO2C6H4N2+ TsO- 85 Sample3 R2 Argon 6-13-16 ; 3.1123 ; 11.924 ; 0.1023 ; 240.2 ; 1.56e-5 
4-NO2C6H4N2+ TsO- 85 Sample3 R2 Argon 6-15-16 ; 3.1123 ; 9.8703 ; 0.09578 ; 232.5 ; 1.42e-5 
4-NO2C6H4N2+ TsO- 85 Sample3 R2 Argon 6-17-16 ; 3.1123 ; 13.761 ; 0.08828 ; 247.1 ; 2.03e-5 
4-NO2C6H4N2+ TsO- 85 Sample3 R2 Argon 6-21-16 ; 3.1123 ; 13.704 ; 0.1019 ; 248.8 ; 1.74e-5 
4-NO2C6H4N2+ TsO- 85 Sample3 R2 Argon 6-2-16 ; 3.1123 ; 14.847 ; 0.1130 ; 242.8 ; 1.74e-5 
4-NO2C6H4N2+ TsO- 85 Sample3 R2 Air 4-29-16 ; 3.1123 ; 12.53 ; 0.08751 ; 242.0 ; 1.90e-5 
4-NO2C6H4N2+ TsO- 85 Sample3 R2 Air 5-19-16 ; 3.1123 ; 7.8193 ; 0.08139 ; 225.5 ; 1.37e-5 
4-NO2C6H4N2+ TsO- 85 Sample3 R2 Air 3-14-16 ; 3.1123 ; 5.8523 ; 0.08967 ; 219.5 ; 9.55e-6 
