1/T; 1; 1; 1; 1; 1; 1
0.0028723251; 9.4523; 9.3163; 9.1556; 11.8155; 10.3983; 14.0031
0.0028316579; 8.8374; 8.6930; 8.4657; 11.0759; 9.6343; 13.2399
0.0027921262; 8.0974; 8.0454; 7.4848; 10.0080; 8.8569; 12.9297
