t; T; m; Hf; dT; uV; Purge
6.66667E-4;19.92901;12.33686;-68.66169;-1.353460;-7.296947;100.0094
.004333333;19.93132;12.33623;-68.67192;-1.354598;-7.303600;99.98281
0.01266666;19.93204;12.33576;-68.67249;-1.354668;-7.303979;99.97576
0.02100000;19.93691;12.33538;-68.67340;-1.354780;-7.304593;100.0779
0.02933333;19.93913;12.33482;-68.67468;-1.354934;-7.305444;99.93499
0.03766667;19.94046;12.33396;-68.67639;-1.355142;-7.306592;100.0230
0.04600000;19.94739;12.33301;-68.67840;-1.355384;-7.307935;99.97936
0.05433334;19.94998;12.33224;-68.68100;-1.355694;-7.309656;100.0343
0.06266666;19.95060;12.33174;-68.68420;-1.356080;-7.311798;100.0147
0.07100000;19.95466;12.33136;-68.68765;-1.356494;-7.314096;99.95928
0.07933334;19.95616;12.33087;-68.69138;-1.356944;-7.316588;100.0424
0.08766666;19.95933;12.32981;-68.69543;-1.357429;-7.319284;99.97758
0.09600000;19.96266;12.32834;-68.69960;-1.357928;-7.322064;99.98319
0.1043333;19.96643;12.32692;-68.70352;-1.358396;-7.324675;99.99322
0.1126666;19.96874;12.32598;-68.70762;-1.358885;-7.327401;100.0248
0.1210000;19.96302;12.32548;-68.71187;-1.359396;-7.330234;99.99576
0.1293333;19.96379;12.32501;-68.71651;-1.359964;-7.333350;99.96611
0.1376667;19.97501;12.32418;-68.72126;-1.360544;-7.336538;100.0601
0.1460000;19.97511;12.32281;-68.72570;-1.361078;-7.339495;99.98559
0.1543334;19.97519;12.32128;-68.73022;-1.361627;-7.342522;99.99081
0.1626666;19.97958;12.32001;-68.73525;-1.362240;-7.345892;100.0072
0.1710000;19.98499;12.31924;-68.74028;-1.362850;-7.349254;99.98400
0.1793333;19.98747;12.31876;-68.74526;-1.363453;-7.352582;100.0270
0.1876666;19.99044;12.31819;-68.75074;-1.364120;-7.356250;99.98582
0.1960000;19.99036;12.31724;-68.75662;-1.364842;-7.360205;100.0120
0.2043333;20.00121;12.31595;-68.76254;-1.365556;-7.364155;99.97664
0.2126666;19.99794;12.31461;-68.76803;-1.366216;-7.367820;100.0480
0.2210000;19.99800;12.31349;-68.77343;-1.366868;-7.371422;99.96650
0.2293333;20.00431;12.31271;-68.77900;-1.367548;-7.375161;99.98016
0.2376666;20.00789;12.31210;-68.78489;-1.368260;-7.379095;100.0281
0.2460000;20.01067;12.31132;-68.79072;-1.368965;-7.382993;99.96966
0.2543334;20.01176;12.31024;-68.79692;-1.369720;-7.387149;100.0053
0.2626667;20.01271;12.30901;-68.80332;-1.370500;-7.391434;99.97389
0.2710000;20.01113;12.30784;-68.80982;-1.371298;-7.395806;100.0304
0.2793333;20.01720;12.30692;-68.81590;-1.372039;-7.399880;100.0072
0.2876667;20.01722;12.30624;-68.82246;-1.372847;-7.404290;99.98899
0.2960000;20.01450;12.30558;-68.82935;-1.373696;-7.408922;100.0196
0.3043333;20.01281;12.30475;-68.83634;-1.374561;-7.413629;100.0131
0.3126666;20.01768;12.30367;-68.84394;-1.375504;-7.418761;99.98162
0.3210000;20.01958;12.30244;-68.85142;-1.376431;-7.423797;99.99569
0.3293334;20.01919;12.30131;-68.85886;-1.377357;-7.428819;100.0148
0.3376666;20.02517;12.30044;-68.86641;-1.378295;-7.433912;100.0192
0.3460000;20.03106;12.29973;-68.87401;-1.379234;-7.439025;99.96058
0.3543334;20.02972;12.29899;-68.88172;-1.380185;-7.444215;100.0138
0.3626666;20.03695;12.29809;-68.88968;-1.381170;-7.449579;99.95306
0.3710000;20.04133;12.29700;-68.89730;-1.382107;-7.454702;100.0372
0.3793334;20.04253;12.29586;-68.90488;-1.383034;-7.459782;99.99628
0.3876666;20.03902;12.29478;-68.91262;-1.383984;-7.464990;100.0224
0.3960000;20.04181;12.29382;-68.92001;-1.384890;-7.469951;99.96705
0.4043333;20.04964;12.29295;-68.92760;-1.385819;-7.475044;99.97525
0.4126667;20.04999;12.29201;-68.93548;-1.386778;-7.480315;100.0366
0.4210000;20.04754;12.29095;-68.94300;-1.387703;-7.485382;99.98991
0.4293333;20.04634;12.28982;-68.95061;-1.388642;-7.490491;100.0596
0.4376666;20.05090;12.28870;-68.95822;-1.389583;-7.495622;99.96312
0.4460000;20.05486;12.28766;-68.96556;-1.390488;-7.500568;100.0263
0.4543334;20.05988;12.28672;-68.97276;-1.391374;-7.505407;100.0096
0.4626666;20.06230;12.28582;-68.98018;-1.392289;-7.510397;99.94159
0.4710000;20.06566;12.28487;-68.98758;-1.393196;-7.515366;100.0331
0.4793334;20.07137;12.28382;-68.99515;-1.394122;-7.520445;99.97731
0.4876666;20.07197;12.28266;-69.00258;-1.395033;-7.525430;99.99306
0.4960000;20.08290;12.28152;-69.00928;-1.395851;-7.529926;100.0385
0.5043333;20.07820;12.28043;-69.01582;-1.396646;-7.534314;99.96997
0.5126667;20.08176;12.27944;-69.02184;-1.397370;-7.538321;100.0140
0.5210000;20.08750;12.27851;-69.02778;-1.398084;-7.542290;99.98672
0.5293334;20.09133;12.27758;-69.03374;-1.398801;-7.546262;100.0245
0.5376668;20.09922;12.27659;-69.03950;-1.399493;-7.550111;100.0008
0.5460000;20.10046;12.27554;-69.04480;-1.400124;-7.553634;99.95009
