Ampoule (12-22-15) NO2-Ph-N2-OTf-75; 3.3424; 0.8995; 0.03156; 199.6; 4.27e-6
Ampoule (2-13-16) NO2-Ph-N2-OTf-80; 3.3424; 1.3106; 0.0630; 235.1; 2.65e-6
Ampoule (2-9-16) NO2-Ph-N2-OTf-85; 3.3424; 7.9523; 0.1168; 249.84; 8.1523e-6
Ampoule (1-12-16) CH3O-Ph-N2-OTf-85; 3.5185; 11.379; 0.0128; 105.8; 2.39e-4
Ampoule (12-25-15) CH3O-Ph-N2-OTf-75; 3.5185; 1.4768; 0.002077; 183.1; 1.10e-4
Ampoule (2-15-16) CH3O-Ph-N2-OTf-80; 3.5185; 3.1995; 0.004436; 183.2; 1.12e-4
Ampoule (7-1-16) o-NO2-Ph-N2-OTf-85; 3.3424; 14.684; 0.0007632; 416.4; 1.38e-3
Ampoule (7-21-16) m-NO2-Ph-N2-OTf-85; 3.3424; 3.1162; 0.04272; 219.5; 1.06e-5
Ampoule (7-25-16) m-NO2-Ph-N2-OTf-85; 3.3424; 2.801; 0.04141; 232.8; 8.69e-6
Ampoule (7-29-16) m-NO2-Ph-N2-OTf-85; 3.3424; 4.1968; 0.04336; 221.0; 1.31e-5
Ampoule (8-1-16) m-NO2-Ph-N2-OTf-85; 3.3424; 10.813; 0.04872; 231.4; 2.87e-5
Ampoule (8-14-16) p-NO2-Ph-N2-OTf-85; 3.3424; 28.829; 0.1699; 219.1; 2.32e-5
Ampoule (8-15-16) p-NO2-Ph-N2-OTf-85; 3.3424; 8.7649; 0.01456; 238.4; 7.55e-6
Ampoule (8-18-16) m-NO2-Ph-N2-OTf-80; 3.3424; 1.0965; 0.01958; 230.4; 7.27e-6
Ampoule (8-4-16) m-NO2-Ph-N2-OTf-85; 3.3424; 2.9152; 0.03994; 225.9; 9.67e-6
Ampoule (8-8-16) m-NO2-Ph-N2-OTf-85; 3.3424; 2.6876; 0.04098; 221.8; 8.84e-6
