Name; A0; P0; k; dH; C0
Ampoule (2-1-16) NO2-Ph-N2-OTs-85 V0; 3.1123; 4.1518; 0.1033; 230.7; 5.60e-6
Ampoule (3-11-16) NO2-Ph-N2-OTs V; 3.1123; 10.619; 0.08650; 236.8; 1.67e-5
Ampoule (3-14-16) NO2-Ph-N2-OTs V; 3.1123; 5.8523; 0.08967; 219.5; 9.55e-6
Ampoule (3-16-16) NO2-Ph-N2-OTs V; 3.1123; 7.0954; 0.08410; 228.0; 1.19e-5
Ampoule (3-18-16) NO2-Ph-N2-OTs V; 3.1123; 14.435; 0.07164; 245.0; 2.64e-5
Ampoule (3-22-16) NO2-Ph-N2-OTs V; 3.1123; 11.673; 0.07698; 225.75; 2.1582e-5
Ampoule (3-24-16) NO2-Ph-N2-OTs V2; 3.1123; 17.554; 0.06765; 260.8; 3.20e-5
Ampoule (3-31-16) NO2-Ph-N2-OTs V1; 3.1123; 27.783; 0.08245; 235.1; 4.605e-5
Ampoule (4-4-16) NO2-Ph-N2-OTs V1; 3.1123; 34.219; 0.08815; 232.8; 5.36e-5
Ampoule (4-7-16) NO2-Ph-N2-OTs V1; 3.1123; 31.682; 0.09176; 234.6; 4.73e-5
