Summary
Name,"Ampoule (3-24-16) NO2-Ph-N2-OTs V2.rslt"
Start time,2016 мар 24 - 18:19
End time,2016 мар 27 - 20:04
Operator,"Alex"
Results file path,"C:\Users\S\Documents\Diazo\Ampoule (3-24-16) NO2-Ph-N2-OTs V2.rslt"
General Experiment Info
Bath temperature,85°C
,Sample - Ch 1
Total mass,10mg
Name,"NO2-Ph-N2-OTs V2"
,Component - NO2-Ph-N2-OTs
Mass,10mg
Name,"NO2-Ph-N2-OTs"
Physical shape,"Powder"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Time markers"
-2981.28199028969,84.9999998741785,NaN,NaN,NaN,NaN,""
-2980.44077467918,84.999999881793,1.99644463264955E-09,NaN,1.99644463264955E-07,NaN,""
-2937.03535747528,85.0000002746937,6.50138010000135E-10,NaN,6.50138010000135E-08,NaN,""
-2914.91210746765,85.0000000913929,6.35565236127021E-10,NaN,6.35565236127021E-08,NaN,""
-2892.78872466087,84.9999999080911,6.47535498406236E-10,NaN,6.47535498406236E-08,NaN,""
-2870.66547465324,84.9999999631106,1.99042473736884E-09,NaN,1.99042473736884E-07,NaN,""
-2848.54209184647,85.0000000181304,3.38591236393415E-09,NaN,3.38591236393415E-07,NaN,""
-2826.41884183884,85.0000000292918,1.99291655907694E-09,NaN,1.99291655907694E-07,NaN,""
-2804.29545927048,85.0000000404533,4.89745872710773E-10,NaN,4.89745872710773E-08,NaN,""
-2782.17220926285,84.9999998313454,1.08414707583644E-09,NaN,1.08414707583644E-07,NaN,""
-2760.04882645607,84.9999996222363,1.76140837664317E-09,NaN,1.76140837664317E-07,NaN,""
-2737.92557644844,84.9999997698979,2.98693728659014E-09,NaN,2.98693728659014E-07,NaN,""
-2715.80219364166,84.9999999175605,4.23412745869248E-09,NaN,4.23412745869248E-07,NaN,""
-2693.67894363403,84.9999999453134,4.64615956800265E-09,NaN,4.64615956800265E-07,NaN,""
-2671.55556082726,84.9999999730665,5.02521542367837E-09,NaN,5.02521542367837E-07,NaN,""
-2649.43231081963,84.9999999583894,4.86411318926449E-09,NaN,4.86411318926449E-07,NaN,""
-2627.30892825127,84.9999999437121,4.68168362580769E-09,NaN,4.68168362580769E-07,NaN,""
-2605.18567824364,85.000000059578,4.40787738191773E-09,NaN,4.40787738191773E-07,NaN,""
-2583.06229543686,85.0000001754445,4.13046232136726E-09,NaN,4.13046232136726E-07,NaN,""
-2560.93904542923,84.9999999228145,4.20429361406033E-09,NaN,4.20429361406033E-07,NaN,""
-2538.81566262245,84.9999996701829,4.29198859219985E-09,NaN,4.29198859219985E-07,NaN,""
-2516.69241261482,84.9999997586618,5.27817889994689E-09,NaN,5.27817889994689E-07,NaN,""
-2494.56902980804,84.9999998471413,6.29983194507576E-09,NaN,6.29983194507576E-07,NaN,""
-2472.44577980042,85.000000124362,5.9053002962356E-09,NaN,5.9053002962356E-07,NaN,""
-2450.32239723206,85.0000004015844,5.45488964100012E-09,NaN,5.45488964100012E-07,NaN,""
-2428.19914722443,85.0000001504019,6.00858876618543E-09,NaN,6.00858876618543E-07,NaN,""
-2406.07576441765,84.9999998992178,6.6019026936928E-09,NaN,6.6019026936928E-07,NaN,""
-2383.95251441002,84.9999999768565,6.05421796074824E-09,NaN,6.05421796074824E-07,NaN,""
-2361.82913160324,85.0000000544956,5.46152570378075E-09,NaN,5.46152570378075E-07,NaN,""
-2339.70588159561,85.0000000923634,5.95125467472412E-09,NaN,5.95125467472412E-07,NaN,""
-2317.58249878883,85.0000001302314,6.48367333389877E-09,NaN,6.48367333389877E-07,NaN,""
-2295.4592487812,85.0000000763333,5.95299804481975E-09,NaN,5.95299804481975E-07,NaN,""
-2273.33586621284,85.0000000224349,5.38040190825519E-09,NaN,5.38040190825519E-07,NaN,""
-2251.21261620522,84.9999999974151,4.66794550926187E-09,NaN,4.66794550926187E-07,NaN,""
-2229.08923339844,84.9999999723951,3.94997091364827E-09,NaN,3.94997091364827E-07,NaN,""
-2206.96598339081,84.9999999294071,3.60126423323436E-09,NaN,3.60126423323436E-07,NaN,""
-2184.84260058403,84.9999998864189,3.26711073822386E-09,NaN,3.26711073822386E-07,NaN,""
-2162.7193505764,84.9999999516066,1.7711481596354E-09,NaN,1.7711481596354E-07,NaN,""
-2140.59596776962,85.0000000167946,2.29388980800513E-10,NaN,2.29388980800513E-08,NaN,""
-2118.47271776199,85.0000000721356,-6.97065563067826E-11,NaN,-6.97065563067826E-09,NaN,""
