"Time","Temperature","Heat flow","Heat","Normalized_heat_flow","Normalized heat","Room Temperature","Ampoule A Temperature","Ampoule B Temperature","Time markers"
372687.993020296,75.0000000247569,1.08424876244213E-05,2.06140376217046,0.00108424876244213,206.140376217046,27.3894029878265,75.0001348504569,75.0000490977941,""
372797.244553804,75.0000002098577,1.08585875459902E-05,2.0625890009156,0.00108585875459902,206.25890009156,27.4399386922086,75.000128997123,75.0000430792221,""
372855.089470387,75.0000001903581,1.0862906226331E-05,2.06321710783475,0.0010862906226331,206.321710783475,27.4804537446096,75.0001289418382,75.0000429792227,""
372912.935387135,75.0000000983957,1.08646246061885E-05,2.06384557427935,0.00108646246061885,206.384557427935,27.5226926330945,75.0001288865524,75.0000428792216,""
372970.780303955,75.0000000064349,1.0866342956342E-05,2.06447402986024,0.0010866342956342,206.447402986024,27.3428576312722,75.0001312901415,75.0000452317582,""
373028.625220537,74.9999999754027,1.08734227020207E-05,2.06510312768528,0.00108734227020207,206.510312768528,27.1352144642393,75.0001336937307,75.0000475842947,""
373086.470137119,74.9999999966673,1.08851157828479E-05,2.06573277814617,0.00108851157828479,206.573277814617,27.0093399622067,75.0001367213781,75.0000505242876,""
373144.317053795,75.0000000179326,1.08968092679846E-05,2.06636245037837,0.00108968092679846,206.636245037837,26.8937005944584,75.000139749141,75.0000534643924,""
373202.161970615,75.0000000634154,1.09050823203002E-05,2.06699274849084,0.00109050823203002,206.699274849084,26.8361985592223,75.0001328621628,75.0000465019223,""
373260.007887125,75.0000001375945,1.09092930845151E-05,2.06762382679667,0.00109092930845151,206.762382679667,26.785972610445,75.0001259750655,75.0000395393319,""
373317.852803707,75.0000002117722,1.09135037759426E-05,2.06825489419365,0.00109135037759426,206.825489419365,26.7160492799069,75.0001276525084,75.0000411556537,""
373375.697720528,75.0000001774436,1.09190891239978E-05,2.06888636665872,0.00109190891239978,206.888636665872,26.6436606129784,75.0001293299513,75.0000427719755,""
373433.542637348,74.9999999640038,1.09269496137926E-05,2.06951850953222,0.00109269496137926,206.951850953222,26.6115215918358,75.0001370065416,75.0000503741338,""
373491.389553785,74.9999997505567,1.09348103753134E-05,2.070150674258,0.00109348103753134,207.0150674258,26.5844190815297,75.0001446835009,75.0000579766582,""
373549.234470367,74.9999996234201,1.09416688443711E-05,2.07078314275284,0.00109416688443711,207.078314275284,26.7253721314651,75.0001401941514,75.0000534214344,""
373607.080387115,74.999999700722,1.09461467017582E-05,2.07141639584279,0.00109461467017582,207.141639584279,26.8873535162297,75.0001357047242,75.0000488661319,""
373664.925303936,74.9999997780226,1.09506244817408E-05,2.07204963798629,0.00109506244817408,207.204963798629,26.8688053954391,75.0001293468311,75.0000424576833,""
373722.770220757,74.9999998733735,1.0956272441168E-05,2.07268315655507,0.0010956272441168,207.268315655507,26.8276752923285,75.0001229889381,75.0000360492347,""
373780.615137577,75.0000000340858,1.09661732331838E-05,2.07331767974795,0.00109661732331838,207.331767974795,27.01360820573,75.0001276837329,75.0000406598387,""
373838.462053776,75.0000001948036,1.09760743674152E-05,2.07395222487278,0.00109760743674152,207.395222487278,27.2279517091954,75.000132378881,75.0000452707926,""
373896.306970358,75.0000003547195,1.09858483261169E-05,2.07458697556561,0.00109858483261169,207.458697556561,27.5616902913225,75.0001285307733,75.0000413438874,""
373954.152887106,75.0000005095774,1.09948122635211E-05,2.07522319048294,0.00109948122635211,207.522319048294,27.9103656652529,75.0001246825991,75.0000374169143,""
374011.997803688,75.0000006644326,1.10037760459373E-05,2.0758593944,0.00110037760459373,207.58593944,28.03931876106,75.0001157611273,75.000028404399,""
374069.842720509,75.0000007799555,1.10124149026201E-05,2.07649565709392,0.00110124149026201,207.649565709392,28.140802100686,75.0001068396555,75.0000193918836,""
374127.687637329,75.0000002266717,1.10154625146477E-05,2.07713293116086,0.00110154625146477,207.713293116086,28.3013060174235,75.0001101222066,75.0000226010525,""
374185.534553766,74.9999996733688,1.10185102320269E-05,2.07777022725747,0.00110185102320269,207.777022725747,28.4691947133996,75.0001134050821,75.0000258105436,""
374243.379470348,74.9999991200851,1.10215578440419E-05,2.07840750132178,0.00110215578440419,207.840750132178,28.4289996168763,75.0001177628792,75.0000301471392,""
374301.22438693,74.9999993670202,1.10172106196695E-05,2.07904464575072,0.00110172106196695,207.904464575072,28.3627989278896,75.0001221206763,75.0000344837348,""
374359.069303513,74.9999996343704,1.10126698998639E-05,2.07968178678759,0.00110126698998639,207.968178678759,28.3668680135307,75.0001193622665,75.0000317332494,""
374416.916220427,74.9999999017299,1.10081290230358E-05,2.08031894985739,0.00110081290230358,208.031894985739,28.3797198618695,75.0001166036382,75.0000289825463,""
374474.761137009,74.999999997539,1.10176789746287E-05,2.08095662288866,0.00110176789746287,208.095662288866,28.4955371086467,75.0001226331989,75.0000349578061,""
374532.607053757,75.0000000731608,1.10288984121497E-05,2.08159436997094,0.00110288984121497,208.159436997094,28.6242207485553,75.0001286628638,75.0000409331692,""
374590.451970577,75.0000001487812,1.10401176557309E-05,2.0822321060291,0.00110401176557309,208.22321060291,28.6432452178826,75.0001337262453,75.0000459319323,""
374648.296887159,75.0000001067509,1.10442592663649E-05,2.08287083809408,0.00110442592663649,208.287083809408,28.6485719563661,75.0001387896268,75.0000509306954,""
374706.141803741,75.0000000378842,1.10467798058161E-05,2.08350979828649,0.00110467798058161,208.350979828649,28.6390711091157,75.0001396482427,75.0000517473796,""
374763.988720417,74.9999999690152,1.10493004324194E-05,2.08414878057212,0.00110493004324194,208.414878057212,28.6277176905168,75.0001405068156,75.0000525640197,""
