"Time","Temperature","Heat flow","Heat","Normalized_heat_flow","Normalized heat","Time markers"
3193.65963888168,80.0000000490858,7.34445733129536E-06,0.000901780417363094,0.000734445733129536,0.0901780417363092,""
3390.95107698441,80.000000001194,7.27322728908468E-06,0.00234374318924374,0.000727322728908468,0.234374318924374,""
3489.72649359703,79.9999999817563,7.24577472921856E-06,0.00305945685731273,0.000724577472921856,0.305945685731272,""
3588.50200462341,79.9999999623186,7.21834375838914E-06,0.0037751548435133,0.000721834375838914,0.377515484351329,""
3687.27742123604,80.0000000274443,7.19764012957942E-06,0.00448611185880117,0.000719764012957941,0.448611185880117,""
3786.05293226242,80.00000009257,7.17695418772203E-06,0.00519705707690253,0.000717695418772203,0.519705707690253,""
3884.82834887505,79.9999999747967,7.15786034370717E-06,0.00590408307633335,0.000715786034370717,0.590408307633335,""
3983.60385990143,79.9999998570233,7.13877067037084E-06,0.00661109944147046,0.000713877067037084,0.661109944147045,""
4082.37927651405,79.9999999579838,7.13143158288874E-06,0.00731551451347485,0.000713143158288874,0.731551451347485,""
4181.15478777885,80.0000000589445,7.12412339409468E-06,0.00801992342048347,0.000712412339409468,0.801992342048347,""
4279.9302046299,80.0000000084985,7.10394213728334E-06,0.00872162015933262,0.000710394213728334,0.872162015933262,""
4378.70571541786,79.9999999580525,7.08372701556881E-06,0.00942331043648129,0.000708372701556881,0.942331043648129,""
4477.48113203049,79.9999999478832,7.07819827131001E-06,0.0101224676537569,0.000707819827131001,1.01224676537569,""
4576.25664305687,79.9999999377139,7.07270812082465E-06,0.0108216188836231,0.000707270812082465,1.08216188836231,""
4675.03205990791,80.0000000054409,7.06236569118442E-06,0.0115192084197363,0.000706236569118442,1.15192084197363,""
4773.80757069588,80.000000073168,7.05201050346257E-06,0.0122167945180328,0.000705201050346257,1.22167945180328,""
4872.5829873085,80.0000000478169,7.03757314842943E-06,0.0129119364169529,0.000703757314842943,1.29119364169529,""
4971.35849833488,80.0000000224658,7.02312505855013E-06,0.0136070725628506,0.000702312505855013,1.36070725628506,""
5070.13391518593,80.0000000568796,7.01089523204277E-06,0.0142995803987555,0.000701089523204277,1.42995803987555,""
5168.90942597389,80.0000000912935,6.99867121758073E-06,0.0149920819947588,0.000699867121758073,1.49920819947588,""
5267.68484258652,79.9999999782655,6.9844892808247E-06,0.0156819809937654,0.00069844892808247,1.56819809937654,""
5366.4603536129,79.9999998652374,6.97030219213722E-06,0.0163718738237188,0.000697030219213722,1.63718738237188,""
5465.23577046394,79.9999999709494,6.95604804086507E-06,0.0170589640352716,0.000695604804086507,1.70589640352716,""
5564.01128125191,80.0000000766615,6.94179370006764E-06,0.0177460475495151,0.000694179370006764,1.77460475495151,""
5662.78669786453,79.9999999192407,6.92502612496472E-06,0.0184300735727745,0.000692502612496472,1.84300735727745,""
5761.56220889091,79.9999997618197,6.90825194292406E-06,0.0191140922334028,0.000690825194292406,1.91140922334028,""
5860.33762550354,79.9999999068317,6.8968840476336E-06,0.0197953391606837,0.00068968840476336,1.97953391606837,""
5959.11313652992,80.0000000518439,6.88553031405102E-06,0.0204765794747265,0.000688553031405102,2.04765794747265,""
6057.88855338097,80.0000001342353,6.87195365274695E-06,0.0211553624925394,0.000687195365274695,2.11553624925394,""
6156.66406416893,80.0000002166267,6.85837115321402E-06,0.0218341397181245,0.000685837115321402,2.18341397181245,""
6255.43948078156,80.0000000530258,6.8465268224587E-06,0.0225104117626547,0.00068465268224587,2.25104117626547,""
6354.21499180794,79.9999998894248,6.83468703363283E-06,0.0231866778927496,0.000683468703363283,2.31866778927496,""
6452.99040865898,80.0000000081717,6.82921707497685E-06,0.0238612397105279,0.000682921707497685,2.38612397105279,""
6551.76591968536,80.0000001269187,6.82376379129658E-06,0.0245357977101801,0.000682376379129658,2.45357977101801,""
6650.54133629799,80.0000000432916,6.82047954476952E-06,0.0252094948250347,0.000682047954476952,2.52094948250347,""
6749.31684732437,79.9999999596645,6.81720097290329E-06,0.0258831903320172,0.000681720097290329,2.58831903320172,""
6848.092263937,79.9999999774758,6.80915137270956E-06,0.0265557679408222,0.000680915137270956,2.65557679408222,""
6946.86777496338,79.999999995287,6.80108928042995E-06,0.0272283432689786,0.000680108928042995,2.72283432689786,""
7045.643191576,80.0000000099224,6.79704890124519E-06,0.0278997266835108,0.000679704890124519,2.78997266835108,""
7144.41870260239,80.0000000245578,6.7930190379591E-06,0.028571107623718,0.000679301903795911,2.8571107623718,""
7243.19411921501,80.0000000420809,6.7901352361026E-06,0.0292418070986237,0.00067901352361026,2.92418070986237,""
7341.96963024139,80.0000000596039,6.787254428187E-06,0.0299125054344035,0.0006787254428187,2.99125054344035,""
7440.74504685402,80.000000027019,6.78607648985632E-06,0.0305828037086859,0.000678607648985632,3.05828037086859,""
7539.5205578804,79.9999999944341,6.78490300139893E-06,0.0312531015796522,0.000678490300139893,3.12531015796522,""
7638.29597449303,79.9999999503393,6.77944217971073E-06,0.0319227441074268,0.000677944217971073,3.19227441074268,""
7737.07148551941,79.9999999062444,6.77397015056187E-06,0.0325923855646227,0.000677397015056187,3.25923855646227,""
7835.84690213203,79.9999999554761,6.77222706933437E-06,0.0332613165228523,0.000677222706933437,3.32613165228523,""
7934.62241315842,80.0000000047078,6.77049372609481E-06,0.0339302462663888,0.000677049372609481,3.39302462663888,""
8033.39782977104,79.9999999454029,6.76313362348748E-06,0.0345982780535144,0.000676313362348748,3.45982780535144,""
8132.17334079742,79.9999998860979,6.75575882267115E-06,0.0352663081363263,0.000675575882267115,3.52663081363263,""
