Summary
Name,"Ampoule (6-15-16) NO2-Ph-N2-OTs V3 PK2 Ar.rslt"
Start time,2016 июн 15 - 19:13
End time,2016 июн 17 - 15:30
Operator,"Alex"
Results file path,"C:\Users\S\Documents\Diazo\Ampoule (6-15-16) NO2-Ph-N2-OTs V3 PK2 Ar.rslt"
General Experiment Info
Bath temperature,85°C
,Sample - Ch 1,Sample - Ch 1
Total mass,10mg,10mg
Name,"NO2-Ph-N2-OTs V3 PK2 Ar","NO2-Ph-N2-OTs V3 PK2 Ar"
,Component - NO2-Ph-N2-OTs,Component - NO2-Ph-N2-OTs
Mass,10mg,10mg
Name,"NO2-Ph-N2-OTs","NO2-Ph-N2-OTs"
Physical shape,"Powder","Powder"
Preparation,"PK2 Ar","PK2 Ar"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Room Temperature","Ampoule A Temperature","Time markers"
-1815.46997189522,NaN,NaN,NaN,NaN,NaN,NaN,84.9999284493581,""
-1815.46895122528,84.9999999638691,NaN,NaN,NaN,NaN,NaN,84.9999284495155,""
-1815.2344584465,84.9999999624278,1.171037778247E-08,NaN,1.171037778247E-06,NaN,NaN,84.9999284856658,""
-1809.61915183067,84.9999999279126,1.12989776009574E-08,NaN,1.12989776009574E-06,NaN,26.5611627997838,84.9999293513423,""
-1788.89704060555,84.9999998005416,9.78079152447306E-09,NaN,9.78079152447306E-07,NaN,26.6742963546396,84.99993254594,""
-1775.61070728302,84.9999995080019,8.56541059537163E-09,NaN,8.56541059537163E-07,NaN,26.7229567862872,84.9999299817752,""
-1762.32410931587,84.9999992154077,7.34560289919491E-09,NaN,7.34560289919491E-07,NaN,26.7528310623577,84.9999274175594,""
-1749.03777599335,84.9999997232777,7.56237202228827E-09,NaN,7.56237202228827E-07,NaN,26.7414087537561,84.999923866444,""
-1735.75117826462,85.0000002314654,7.80549622659517E-09,NaN,7.80549622659517E-07,NaN,26.6974960386223,84.999920315258,""
-1722.46484494209,85.0000002959614,9.03711142076575E-09,NaN,9.03711142076575E-07,NaN,26.663294745467,84.9999173241088,""
-1709.17824697495,85.0000003602199,1.0287029981669E-08,NaN,1.0287029981669E-06,NaN,26.6367320595442,84.9999143329001,""
-1695.89191365242,85.0000001282595,1.05891745492922E-08,NaN,1.05891745492922E-06,NaN,26.6029069914987,84.9999138309027,""
-1682.60531568527,84.9999998960896,1.08736590016778E-08,NaN,1.08736590016777E-06,NaN,26.5633679790593,84.9999133288953,""
-1669.31898236275,84.9999997678938,1.1323930804833E-08,NaN,1.1323930804833E-06,NaN,26.5434813777532,84.9999127601505,""
-1656.0323843956,84.9999996397834,1.17773266068958E-08,NaN,1.17773266068958E-06,NaN,26.5390518142121,84.9999121913943,""
-1642.74605083466,84.9999998704403,1.24432388697425E-08,NaN,1.24432388697424E-06,NaN,26.5217750376283,84.9999057119451,""
-1629.45945310593,85.0000001014605,1.31131890244408E-08,NaN,1.31131890244408E-06,NaN,26.4943933957394,84.9998992323671,""
-1616.1731197834,85.000000129168,1.34756368883717E-08,NaN,1.34756368883717E-06,NaN,26.4867531578251,84.9998942929847,""
-1602.88652205467,85.0000001566416,1.3832223253185E-08,NaN,1.3832223253185E-06,NaN,26.4946378828528,84.999889353504,""
-1589.60018873215,84.9999998174612,1.35183650073717E-08,NaN,1.35183650073717E-06,NaN,26.496617398948,84.9998872654867,""
-1576.313590765,84.9999994777945,1.31916048785968E-08,NaN,1.31916048785968E-06,NaN,26.4939533262616,84.9998851774278,""
