t; T; m; Hf; dT
0.8210000;37.23939;9.516082;-55.24996;0.3497233
0.8293334;37.28858;9.514982;-55.23949;0.3509982
0.8376668;37.34505;9.514130;-55.22745;0.3524616
0.8460000;37.40050;9.513497;-55.21563;0.3538986
0.8543334;37.44700;9.512950;-55.20572;0.3551036
0.8626668;37.49634;9.512276;-55.19521;0.3563828
0.8710000;37.54700;9.511395;-55.18442;0.3576955
0.8793334;37.59118;9.510394;-55.17500;0.3588405
0.8876666;37.64621;9.509454;-55.16328;0.3602667
0.8960000;37.69294;9.508697;-55.15332;0.3614778
0.9043334;37.74604;9.508101;-55.14200;0.3628540
0.9126668;37.79133;9.507532;-55.13235;0.3640277
0.9210000;37.83798;9.506790;-55.12241;0.3652367
0.9293334;37.88388;9.505900;-55.11264;0.3664261
0.9376668;37.93150;9.504956;-55.10249;0.3676603
0.9460000;37.98297;9.504095;-55.09151;0.3689944
0.9543334;38.02924;9.503378;-55.08166;0.3701934
0.9626668;38.07194;9.502785;-55.07256;0.3713002
0.9710000;38.11585;9.502225;-55.06320;0.3724383
0.9793334;38.16876;9.501586;-55.05193;0.3738095
0.9876668;38.21258;9.500870;-55.04259;0.3749450
0.9960000;38.25632;9.500144;-55.03328;0.3760788
1.004333;38.29817;9.499494;-55.02434;0.3771633
1.012667;38.34192;9.498926;-55.01503;0.3782974
1.021000;38.38494;9.498382;-55.00586;0.3794123
1.029333;38.42731;9.497788;-54.99683;0.3805104
1.037667;38.47089;9.497106;-54.98754;0.3816397
1.046000;38.52108;9.496406;-54.97686;0.3829406
1.054334;38.56016;9.495734;-54.96851;0.3839532
1.062667;38.60478;9.495149;-54.95901;0.3851096
1.071000;38.64788;9.494675;-54.94982;0.3862266
1.079334;38.68525;9.494201;-54.94187;0.3871954
1.087666;38.73244;9.493715;-54.93181;0.3884183
1.096000;38.77370;9.493172;-54.92301;0.3894878
1.104334;38.81650;9.492519;-54.91390;0.3905966
1.112667;38.85390;9.491800;-54.90593;0.3915660
1.121000;38.89270;9.491120;-54.89766;0.3925716
1.129334;38.93592;9.490585;-54.88844;0.3936920
1.137667;38.97687;9.490189;-54.87972;0.3947531
1.146000;39.02153;9.489824;-54.87021;0.3959105
1.154334;39.05772;9.489320;-54.86250;0.3968486
1.162667;39.09700;9.488678;-54.85412;0.3978665
1.171000;39.13172;9.487914;-54.84672;0.3987666
1.179334;39.17231;9.487188;-54.83808;0.3998183
1.187667;39.21890;9.486610;-54.82815;0.4010257
1.196000;39.24806;9.486202;-54.82193;0.4017815
1.204334;39.29086;9.485889;-54.81282;0.4028908
1.212666;39.32738;9.485476;-54.80503;0.4038372
1.221000;39.36754;9.484938;-54.79648;0.4048780
1.229334;39.40537;9.484392;-54.78842;0.4058584
1.237667;39.44261;9.484000;-54.78048;0.4068237
1.246000;39.48284;9.483732;-54.77190;0.4078662
1.254334;39.51812;9.483409;-54.76440;0.4087805
1.262667;39.55098;9.482962;-54.75738;0.4096322
1.271000;39.59563;9.482362;-54.74787;0.4107894
1.279334;39.62231;9.481751;-54.74218;0.4114809
1.287666;39.66645;9.481218;-54.73278;0.4126250
1.296000;39.69178;9.480791;-54.72738;0.4132810
1.304334;39.72389;9.480419;-54.72054;0.4141134
1.312666;39.76018;9.480004;-54.71280;0.4150539
1.321000;39.79282;9.479539;-54.70586;0.4159000
1.329334;39.83078;9.479076;-54.69776;0.4168835
1.337666;39.86080;9.478708;-54.69137;0.4176616
1.346000;39.89901;9.478406;-54.68322;0.4186520
1.354334;39.92930;9.478109;-54.67676;0.4194368
1.362666;39.96645;9.477754;-54.66885;0.4204000
1.371000;39.99920;9.477312;-54.66188;0.4212485
1.379334;40.02934;9.476868;-54.65545;0.4220298
1.387666;40.05908;9.476528;-54.64912;0.4228004
1.396000;40.08968;9.476262;-54.64259;0.4235936
1.404334;40.12156;9.475930;-54.63580;0.4244198
1.412666;40.15444;9.475485;-54.62879;0.4252718
1.421000;40.18122;9.474961;-54.62309;0.4259660
1.429334;40.21228;9.474496;-54.61646;0.4267711
1.437666;40.24802;9.474194;-54.60885;0.4276972
1.446000;40.27715;9.474034;-54.60264;0.4284521
1.454334;40.30381;9.473974;-54.59696;0.4291430
1.462666;40.34262;9.473819;-54.58870;0.4301491
1.471000;40.37031;9.473469;-54.58279;0.4308666
1.479334;40.40112;9.473016;-54.57622;0.4316652
1.487666;40.42458;9.472588;-54.57123;0.4322730
1.496000;40.45462;9.472280;-54.56482;0.4330516
1.504334;40.48590;9.472100;-54.55816;0.4338625
1.512666;40.51807;9.471906;-54.55130;0.4346961
1.521000;40.54413;9.471720;-54.54575;0.4353714
1.529334;40.57626;9.471492;-54.53890;0.4362043
1.537666;40.60226;9.471151;-54.53337;0.4368778
1.546000;40.63094;9.470785;-54.52725;0.4376210
1.554334;40.65828;9.470450;-54.52143;0.4383297
1.562666;40.68861;9.470106;-54.51496;0.4391160
1.571000;40.71380;9.469800;-54.50960;0.4397686
1.579334;40.74575;9.469581;-54.50279;0.4405966
1.587666;40.77144;9.469374;-54.49731;0.4412624
1.596000;40.79892;9.469118;-54.49146;0.4419747
1.604334;40.82481;9.468781;-54.48594;0.4426457
1.612666;40.84845;9.468400;-54.48090;0.4432584
1.621000;40.87875;9.468112;-54.47444;0.4440438
1.629334;40.90312;9.467921;-54.46925;0.4446754
1.637666;40.92541;9.467797;-54.46450;0.4452530
1.646000;40.94955;9.467656;-54.45937;0.4458786
1.654334;40.97830;9.467325;-54.45324;0.4466236
1.662666;41.00420;9.466864;-54.44771;0.4472948
1.671000;41.03022;9.466434;-54.44218;0.4479690
1.679334;41.06124;9.466209;-54.43556;0.4487731
1.687666;41.08806;9.466151;-54.42984;0.4494684
1.696000;41.10877;9.466134;-54.42543;0.4500050
1.704334;41.13062;9.465966;-54.42078;0.4505714
1.712666;41.15661;9.465598;-54.41524;0.4512449
1.721000;41.18299;9.465172;-54.40961;0.4519287
1.729334;41.20610;9.464804;-54.40470;0.4525273
1.737666;41.22302;9.464640;-54.40108;0.4529661
1.746000;41.25317;9.464518;-54.39466;0.4537473
1.754334;41.27530;9.464375;-54.38994;0.4543207
1.762666;41.29526;9.464163;-54.38570;0.4548382
1.771000;41.31934;9.463859;-54.38056;0.4554622
1.779334;41.34542;9.463545;-54.37500;0.4561383
1.787666;41.36961;9.463309;-54.36985;0.4567652
1.796000;41.38690;9.463241;-54.36616;0.4572131
1.804334;41.41288;9.463181;-54.36063;0.4578866
1.812666;41.43422;9.463118;-54.35608;0.4584398
1.821000;41.45961;9.462997;-54.35068;0.4590978
1.829334;41.48731;9.462844;-54.34476;0.4598157
1.837666;41.50259;9.462602;-54.34150;0.4602115
1.846000;41.52414;9.462305;-54.33692;0.4607700
1.854334;41.54674;9.462051;-54.33210;0.4613559
1.862666;41.57050;9.461913;-54.32704;0.4619718
1.871000;41.59082;9.461824;-54.32270;0.4624984
1.879334;41.60611;9.461649;-54.31944;0.4628946
1.887666;41.63004;9.461425;-54.31436;0.4635148
1.896000;41.65030;9.461212;-54.31004;0.4640400
1.904334;41.67094;9.461036;-54.30564;0.4645746
1.912666;41.68926;9.460962;-54.30174;0.4650498
1.921000;41.70937;9.461019;-54.29745;0.4655706
1.929334;41.73059;9.461038;-54.29292;0.4661206
1.937666;41.74948;9.460902;-54.28890;0.4666102
1.946000;41.76905;9.460603;-54.28472;0.4671174
1.954334;41.79579;9.460300;-54.27903;0.4678104
1.962666;41.81040;9.460139;-54.27592;0.4681890
1.971000;41.83102;9.460064;-54.27152;0.4687234
1.979334;41.85062;9.459907;-54.26734;0.4692313
1.987666;41.87437;9.459656;-54.26230;0.4698468
1.996000;41.88822;9.459347;-54.25933;0.4702060
2.004334;41.90594;9.459085;-54.25556;0.4706652
2.012666;41.92152;9.459015;-54.25224;0.4710688
2.021000;41.94428;9.459091;-54.24739;0.4716585
2.029334;41.96386;9.459169;-54.24321;0.4721663
2.037666;41.98004;9.459039;-54.23977;0.4725854
2.046000;41.99541;9.458612;-54.23650;0.4729840
2.054334;42.01770;9.458159;-54.23174;0.4735617
2.062666;42.03885;9.457970;-54.22724;0.4741098
2.071000;42.05770;9.458025;-54.22322;0.4745984
2.079333;42.07290;9.458132;-54.21998;0.4749922
2.087666;42.09052;9.458094;-54.21623;0.4754488
2.096000;42.10558;9.457813;-54.21301;0.4758390
2.104334;42.12120;9.457441;-54.20970;0.4762439
2.112666;42.14059;9.457124;-54.20556;0.4767464
2.121000;42.15574;9.457082;-54.20234;0.4771390
2.129333;42.17517;9.457286;-54.19819;0.4776426
2.137666;42.18953;9.457428;-54.19512;0.4780148
2.146000;42.20790;9.457231;-54.19121;0.4784909
2.154333;42.22761;9.456834;-54.18701;0.4790018
2.162666;42.23652;9.456509;-54.18511;0.4792326
2.171000;42.25006;9.456456;-54.18222;0.4795837
2.179334;42.27193;9.456666;-54.17757;0.4801504
2.187666;42.28797;9.456932;-54.17415;0.4805661
2.196000;42.30356;9.457004;-54.17082;0.4809703
2.204333;42.31133;9.456750;-54.16918;0.4811716
2.212666;42.33008;9.456318;-54.16518;0.4816572
2.221000;42.34515;9.455934;-54.16197;0.4820480
2.229334;42.35413;9.455868;-54.16006;0.4822808
2.237666;42.37754;9.456056;-54.15507;0.4828872
2.246000;42.38784;9.456194;-54.15287;0.4831544
2.254333;42.40322;9.456038;-54.14959;0.4835532
2.262666;42.41584;9.455562;-54.14690;0.4838802
2.271000;42.43347;9.455056;-54.14314;0.4843370
2.279333;42.44204;9.454845;-54.14132;0.4845592
2.287666;42.45696;9.454972;-54.13814;0.4849455
2.296000;42.47433;9.455242;-54.13443;0.4853960
2.304334;42.48859;9.455347;-54.13140;0.4857654
2.312666;42.50509;9.455121;-54.12788;0.4861930
2.321000;42.51508;9.454711;-54.12576;0.4864522
2.329333;42.52231;9.454436;-54.12422;0.4866394
2.337666;42.54267;9.454481;-54.11988;0.4871671
2.346000;42.55278;9.454751;-54.11772;0.4874289
2.354334;42.56334;9.454938;-54.11548;0.4877028
2.362666;42.57861;9.454795;-54.11222;0.4880984
2.371000;42.60022;9.454382;-54.10762;0.4886584
2.379333;42.61514;9.454076;-54.10443;0.4890454
2.387666;42.62322;9.454199;-54.10271;0.4892547
2.396000;42.63134;9.454621;-54.10099;0.4894650
2.404333;42.64848;9.454889;-54.09734;0.4899092
2.412666;42.65833;9.454711;-54.09522;0.4901646
2.421000;42.67141;9.454184;-54.09244;0.4905036
2.429334;42.67867;9.453790;-54.09090;0.4906917
2.437666;42.69781;9.453785;-54.08682;0.4911879
2.446000;42.70910;9.454149;-54.08441;0.4914804
2.454333;42.72017;9.454559;-54.08206;0.4917674
2.462666;42.73556;9.454579;-54.07877;0.4921662
2.471000;42.74437;9.454174;-54.07690;0.4923945
2.479334;42.75570;9.453719;-54.07449;0.4926881
2.487666;42.76453;9.453622;-54.07260;0.4929171
2.496000;42.77974;9.453925;-54.06936;0.4933113
2.504333;42.78408;9.454332;-54.06843;0.4934235
2.512666;42.79550;9.454386;-54.06600;0.4937197
2.521000;42.81810;9.454034;-54.06118;0.4943054
2.529333;42.82992;9.453616;-54.05867;0.4946118
2.537666;42.83624;9.453480;-54.05732;0.4947757
2.546000;42.84872;9.453734;-54.05466;0.4950988
2.554334;42.85829;9.454045;-54.05262;0.4953469
2.562666;42.86790;9.454032;-54.05058;0.4955960
2.571000;42.87836;9.453625;-54.04834;0.4958670
2.579333;42.88246;9.453110;-54.04747;0.4959735
2.587666;42.89492;9.452856;-54.04481;0.4962963
2.596000;42.90409;9.453035;-54.04286;0.4965338
2.604334;42.91044;9.453394;-54.04150;0.4966984
2.612666;42.92232;9.453444;-54.03898;0.4970066
2.621000;42.93366;9.453022;-54.03656;0.4973002
2.629333;42.93818;9.452384;-54.03560;0.4974174
2.637666;42.94586;9.452032;-54.03396;0.4976163
2.646000;42.96317;9.452225;-54.03027;0.4980652
2.654333;42.97196;9.452774;-54.02840;0.4982928
2.662666;42.97737;9.453211;-54.02724;0.4984330
2.671000;42.98617;9.453132;-54.02537;0.4986611
2.679334;43.00192;9.452612;-54.02201;0.4990694
2.687666;43.01304;9.452053;-54.01965;0.4993576
2.696000;43.02212;9.451891;-54.01771;0.4995928
2.704333;43.02705;9.452186;-54.01666;0.4997206
2.712666;43.03964;9.452545;-54.01398;0.5000469
2.721000;43.04289;9.452582;-54.01328;0.5001312
2.729334;43.05440;9.452188;-54.01084;0.5004296
2.737666;43.05756;9.451681;-54.01016;0.5005112
2.746000;43.06842;9.451449;-54.00784;0.5007930
2.754333;43.08408;9.451626;-54.00451;0.5011988
2.762666;43.08766;9.451922;-54.00374;0.5012916
2.771000;43.09609;9.452009;-54.00195;0.5015097
2.779333;43.10629;9.451757;-53.99978;0.5017741
2.787666;43.11686;9.451291;-53.99752;0.5020481
2.796000;43.12300;9.450953;-53.99621;0.5022076
2.804334;43.13542;9.450909;-53.99356;0.5025294
2.812666;43.14433;9.451038;-53.99166;0.5027602
2.821000;43.15076;9.451018;-53.99030;0.5029268
2.829333;43.15087;9.450734;-53.99028;0.5029296
2.837666;43.16469;9.450341;-53.98732;0.5032878
2.846000;43.17774;9.450093;-53.98455;0.5036260
2.854334;43.18117;9.450184;-53.98382;0.5037148
2.862666;43.19781;9.450530;-53.98028;0.5041462
2.871000;43.19942;9.450866;-53.97992;0.5041881
2.879333;43.21208;9.450947;-53.97724;0.5045160
2.887666;43.22332;9.450745;-53.97484;0.5048072
2.896000;43.23570;9.450444;-53.97220;0.5051281
2.904333;43.24306;9.450299;-53.97063;0.5053188
2.912666;43.25328;9.450368;-53.96845;0.5055838
2.921000;43.26742;9.450501;-53.96544;0.5059502
2.929334;43.28119;9.450549;-53.96250;0.5063072
2.937666;43.28088;9.450372;-53.96258;0.5062990
2.946000;43.29926;9.450054;-53.95865;0.5067756
2.954333;43.31190;9.449795;-53.95596;0.5071030
2.962666;43.32796;9.449728;-53.95254;0.5075191
2.971000;43.32772;9.449891;-53.95259;0.5075131
2.979334;43.34131;9.450088;-53.94970;0.5078654
2.987666;43.35586;9.450113;-53.94659;0.5082422
2.996000;43.36777;9.449922;-53.94406;0.5085510
3.004333;43.37570;9.449618;-53.94236;0.5087564
3.012666;43.38574;9.449395;-53.94022;0.5090170
3.021000;43.40098;9.449313;-53.93698;0.5094120
3.029333;43.41470;9.449306;-53.93406;0.5097672
3.037666;43.42502;9.449289;-53.93186;0.5100348
3.046000;43.43932;9.449259;-53.92880;0.5104053
3.054334;43.44560;9.449129;-53.92746;0.5105680
3.062666;43.46000;9.449047;-53.92440;0.5109415
3.071000;43.47947;9.449101;-53.92026;0.5114460
3.079333;43.49236;9.449191;-53.91750;0.5117800
3.087666;43.49965;9.449179;-53.91594;0.5119688
3.096000;43.51639;9.449005;-53.91238;0.5124028
3.104334;43.54044;9.448797;-53.90726;0.5130261
3.112666;43.55040;9.448616;-53.90514;0.5132842
3.121000;43.56378;9.448555;-53.90229;0.5136310
3.129333;43.57826;9.448528;-53.89920;0.5140062
3.137666;43.59797;9.448485;-53.89500;0.5145172
3.146000;43.61023;9.448369;-53.89239;0.5148348
3.154333;43.62367;9.448168;-53.88952;0.5151830
3.162666;43.63812;9.448007;-53.88645;0.5155576
3.171000;43.65303;9.448009;-53.88326;0.5159441
3.179334;43.67123;9.448095;-53.87939;0.5164156
3.187666;43.68661;9.448072;-53.87611;0.5168142
3.196000;43.70050;9.447931;-53.87315;0.5171744
3.204334;43.72142;9.447731;-53.86870;0.5177166
3.212666;43.73342;9.447562;-53.86614;0.5180274
3.221000;43.75598;9.447499;-53.86133;0.5186119
3.229334;43.77420;9.447501;-53.85744;0.5190844
3.237666;43.78669;9.447558;-53.85479;0.5194080
3.246000;43.80847;9.447576;-53.85015;0.5199726
3.254333;43.83004;9.447492;-53.84555;0.5205315
3.262666;43.85392;9.447399;-53.84046;0.5211506
3.271000;43.87812;9.447391;-53.83530;0.5217776
3.279334;43.89515;9.447444;-53.83168;0.5222190
3.287666;43.91616;9.447418;-53.82720;0.5227634
3.296000;43.92812;9.447324;-53.82465;0.5230736
3.304334;43.94567;9.447326;-53.82090;0.5235283
3.312666;43.96772;9.447432;-53.81621;0.5240996
3.321000;43.99004;9.447499;-53.81145;0.5246781
3.329334;44.01261;9.447504;-53.80664;0.5252632
3.337666;44.02529;9.447442;-53.80394;0.5255918
3.346000;44.05292;9.447297;-53.79806;0.5263079
3.354334;44.07484;9.447168;-53.79338;0.5268758
3.362666;44.09890;9.447130;-53.78826;0.5274994
3.371000;44.12204;9.447160;-53.78332;0.5280994
3.379333;44.15191;9.447119;-53.77696;0.5288734
3.387666;44.17359;9.446868;-53.77234;0.5294354
3.396000;44.19580;9.446516;-53.76760;0.5300110
3.404334;44.21374;9.446269;-53.76378;0.5304760
3.412666;44.24280;9.446212;-53.75760;0.5312290
3.421000;44.26502;9.446350;-53.75286;0.5318049
3.429334;44.29406;9.446508;-53.74668;0.5325572
3.437666;44.31680;9.446503;-53.74182;0.5331470
3.446000;44.34313;9.446292;-53.73621;0.5338292
3.454334;44.36861;9.446031;-53.73078;0.5344896
3.462666;44.39201;9.445868;-53.72580;0.5350960
3.471000;44.41964;9.445868;-53.71991;0.5358122
3.479334;44.44754;9.445887;-53.71396;0.5365352
3.487666;44.47004;9.445775;-53.70918;0.5371182
3.496000;44.49813;9.445514;-53.70318;0.5378463
3.504333;44.52090;9.445179;-53.69834;0.5384362
3.512666;44.55530;9.444962;-53.69100;0.5393280
3.521000;44.58188;9.444947;-53.68534;0.5400169
3.529334;44.60713;9.445087;-53.67996;0.5406713
3.537666;44.63332;9.445197;-53.67437;0.5413500
3.546000;44.66060;9.445212;-53.66856;0.5420571
3.554334;44.68928;9.445088;-53.66245;0.5428002
3.562666;44.72451;9.444891;-53.65494;0.5437133
3.571000;44.74929;9.444709;-53.64966;0.5443554
3.579334;44.77628;9.444579;-53.64390;0.5450550
3.587666;44.81472;9.444564;-53.63572;0.5460512
3.596000;44.84105;9.444595;-53.63012;0.5467336
3.604334;44.87529;9.444655;-53.62281;0.5476210
3.612666;44.90235;9.444662;-53.61704;0.5483225
3.621000;44.93420;9.444574;-53.61026;0.5491479
3.629333;44.96217;9.444408;-53.60430;0.5498726
3.637666;44.99274;9.444312;-53.59778;0.5506650
3.646000;45.02352;9.444309;-53.59123;0.5514625
3.654334;45.05561;9.444412;-53.58438;0.5522944
3.662666;45.09500;9.444549;-53.57600;0.5533152
3.671000;45.12724;9.444579;-53.56912;0.5541510
3.679334;45.16264;9.444432;-53.56158;0.5550681
3.687666;45.19669;9.444122;-53.55432;0.5559509
3.696000;45.23025;9.443824;-53.54718;0.5568204
3.704334;45.26444;9.443704;-53.53989;0.5577066
3.712666;45.29788;9.443811;-53.53276;0.5585730
3.721000;45.33422;9.443981;-53.52500;0.5595153
3.729334;45.36992;9.444106;-53.51738;0.5604437
3.737666;45.40956;9.444085;-53.50881;0.5614841
3.746000;45.44226;9.443950;-53.50160;0.5623584
3.754333;45.47497;9.443749;-53.49424;0.5632490
3.762666;45.50754;9.443612;-53.48719;0.5641050
3.771000;45.55203;9.443611;-53.47712;0.5653214
3.779334;45.58294;9.443691;-53.46985;0.5661978
3.787666;45.62214;9.443699;-53.46062;0.5673089
3.796000;45.66044;9.443536;-53.45230;0.5683205
3.804334;45.70007;9.443222;-53.44280;0.5694629
3.812666;45.74052;9.442924;-53.43298;0.5706421
3.821000;45.77977;9.442816;-53.42329;0.5718042
3.829334;45.81780;9.442882;-53.41496;0.5728132
3.837666;45.85613;9.443039;-53.40530;0.5739706
3.846000;45.89372;9.443097;-53.39563;0.5751248
3.854334;45.93329;9.442994;-53.38691;0.5761826
3.862666;45.96867;9.442781;-53.37755;0.5772988
3.871000;46.00350;9.442647;-53.36816;0.5784153
3.879333;46.04952;9.442660;-53.35615;0.5798480
3.887666;46.08218;9.442772;-53.34890;0.5807269
3.896000;46.12497;9.442832;-53.33744;0.5820906
3.904334;46.16382;9.442703;-53.32671;0.5833650
3.912666;46.20688;9.442444;-53.31487;0.5847717
3.921000;46.24493;9.442259;-53.30400;0.5860575
3.929334;46.29168;9.442300;-53.29340;0.5873379
3.937666;46.33308;9.442474;-53.28164;0.5887326
3.946000;46.37330;9.442564;-53.26997;0.5901116
3.954334;46.42059;9.442453;-53.25654;0.5917028
3.962666;46.46210;9.442255;-53.24429;0.5931488
3.971000;46.50262;9.442062;-53.23495;0.5942756
3.979334;46.54913;9.441993;-53.22136;0.5958808
3.987666;46.59101;9.442095;-53.20867;0.5973754
3.996000;46.62990;9.442203;-53.19659;0.5987964
4.004334;46.66680;9.442094;-53.18479;0.6001801
4.012666;46.71846;9.441734;-53.16940;0.6019949
4.021000;46.75313;9.441372;-53.16126;0.6029748
4.029333;46.79926;9.441249;-53.14702;0.6046480
4.037666;46.84572;9.441493;-53.13265;0.6063389
4.046000;46.88876;9.441856;-53.11884;0.6079568
4.054333;46.93667;9.442036;-53.10382;0.6097193
4.062667;46.97611;9.441925;-53.09072;0.6112510
4.071000;47.01894;9.441528;-53.07664;0.6128988
4.079334;47.06916;9.441105;-53.06452;0.6143540
4.087666;47.11135;9.440958;-53.05046;0.6159970
4.096000;47.15730;9.441122;-53.03543;0.6177551
4.104334;47.20446;9.441355;-53.01988;0.6195735
4.112666;47.24441;9.441446;-53.00618;0.6211708
