t; T; m; Hf; dT
32.95433;194.4261;2.041026;-23.12999;3.268740
32.96266;194.4666;2.040758;-23.12698;3.268900
32.97100;194.5147;2.040494;-23.12424;3.269035
32.97933;194.5533;2.040083;-23.12122;3.269194
32.98767;194.5991;2.039548;-23.11806;3.269365
32.99600;194.6341;2.039009;-23.11512;3.269518
33.00433;194.6779;2.038542;-23.11194;3.269690
33.01266;194.7190;2.038223;-23.10905;3.269839
33.02100;194.7612;2.037868;-23.10596;3.270005
33.02933;194.8003;2.037375;-23.10338;3.270130
33.03766;194.8446;2.036750;-23.10036;3.270290
33.04600;194.8855;2.036079;-23.09760;3.270428
33.05433;194.9224;2.035482;-23.09496;3.270557
33.06267;194.9686;2.034996;-23.09225;3.270692
33.07100;195.0130;2.034559;-23.08964;3.270819
33.07933;195.0553;2.034080;-23.08681;3.270962
33.08766;195.0937;2.033530;-23.08379;3.271122
33.09600;195.1424;2.032975;-23.08122;3.271243
33.10433;195.1780;2.032585;-23.07912;3.271325
33.11267;195.2200;2.032373;-23.07638;3.271463
33.12100;195.2613;2.032167;-23.07330;3.271631
33.12933;195.3031;2.031864;-23.07022;3.271800
33.13766;195.3465;2.031361;-23.06716;3.271968
33.14600;195.3835;2.030682;-23.06442;3.272112
33.15433;195.4266;2.030000;-23.06168;3.272256
33.16266;195.4680;2.029452;-23.05888;3.272408
33.17100;195.5100;2.029020;-23.05691;3.272490
33.17933;195.5512;2.028595;-23.05407;3.272650
33.18767;195.5948;2.028049;-23.05092;3.272834
33.19600;195.6367;2.027429;-23.04782;3.273015
33.20433;195.6766;2.026876;-23.04496;3.273175
33.21266;195.7173;2.026456;-23.04268;3.273288
33.22100;195.7611;2.026158;-23.04011;3.273424
33.22933;195.8028;2.025897;-23.03746;3.273566
33.23767;195.8466;2.025527;-23.03458;3.273729
33.24600;195.8880;2.024971;-23.03206;3.273859
33.25433;195.9286;2.024423;-23.02924;3.274016
33.26266;195.9706;2.023987;-23.02656;3.274160
33.27100;196.0161;2.023698;-23.02425;3.274274
33.27933;196.0573;2.023405;-23.02177;3.274402
33.28766;196.1000;2.022930;-23.01942;3.274518
33.29600;196.1433;2.022297;-23.01669;3.274666
33.30433;196.1858;2.021642;-23.01412;3.274800
33.31267;196.2306;2.021150;-23.01152;3.274936
33.32100;196.2682;2.020884;-23.00974;3.275005
33.32933;196.3041;2.020712;-23.00739;3.275122
33.33766;196.3446;2.020374;-23.00466;3.275271
33.34600;196.3887;2.019774;-23.00222;3.275396
33.35433;196.4324;2.019054;-22.99986;3.275514
33.36267;196.4750;2.018472;-22.99790;3.275598
33.37100;196.5185;2.018174;-22.99511;3.275752
33.37933;196.5561;2.017961;-22.99238;3.275900
33.38766;196.5952;2.017650;-22.98963;3.276053
33.39600;196.6397;2.017079;-22.98718;3.276180
33.40433;196.6831;2.016330;-22.98428;3.276345
33.41266;196.7246;2.015659;-22.98152;3.276497
33.42100;196.7677;2.015192;-22.97889;3.276636
33.42933;196.8104;2.014902;-22.97624;3.276778
33.43767;196.8520;2.014553;-22.97322;3.276950
33.44600;196.8966;2.013901;-22.96997;3.277142
33.45433;196.9350;2.013020;-22.96791;3.277235
33.46266;196.9769;2.012248;-22.96542;3.277363
33.47100;197.0179;2.011733;-22.96309;3.277478
33.47933;197.0568;2.011492;-22.96069;3.277599
33.48767;197.1002;2.011299;-22.95830;3.277719
33.49600;197.1411;2.010894;-22.95607;3.277826
33.50433;197.1812;2.010319;-22.95377;3.277939
33.51266;197.2242;2.009731;-22.95134;3.278064
33.52100;197.2688;2.009318;-22.94908;3.278174
33.52933;197.3064;2.009087;-22.94695;3.278272
33.53766;197.3478;2.008866;-22.94424;3.278422
33.54600;197.3978;2.008466;-22.94168;3.278556
33.55433;197.4383;2.007868;-22.93916;3.278686
33.56267;197.4816;2.007223;-22.93640;3.278836
33.57100;197.5194;2.006723;-22.93365;3.278985
33.57933;197.5616;2.006480;-22.93096;3.279130
33.58766;197.6029;2.006316;-22.92826;3.279276
33.59600;197.6476;2.006034;-22.92576;3.279404
33.60433;197.6891;2.005565;-22.92298;3.279556
33.61267;197.7335;2.004994;-22.92052;3.279680
33.62100;197.7722;2.004444;-22.91828;3.279787
33.62933;197.8141;2.003998;-22.91653;3.279852
33.63766;197.8557;2.003638;-22.91428;3.279962
33.64600;197.9004;2.003215;-22.91221;3.280055
33.65433;197.9405;2.002700;-22.91016;3.280145
33.66266;197.9850;2.002086;-22.90790;3.280254
33.67100;198.0208;2.001482;-22.90583;3.280346
33.67933;198.0622;2.001055;-22.90357;3.280456
33.68767;198.1020;2.000737;-22.90126;3.280570
33.69600;198.1432;2.000462;-22.89852;3.280720
33.70433;198.1888;2.000122;-22.89565;3.280882
33.71266;198.2298;1.999661;-22.89239;3.281075
33.72100;198.2700;1.999129;-22.88964;3.281226
33.72933;198.3118;1.998598;-22.88679;3.281386
33.73767;198.3547;1.998058;-22.88379;3.281556
33.74600;198.3939;1.997510;-22.88137;3.281682
33.75433;198.4369;1.996949;-22.87914;3.281788
33.76266;198.4771;1.996362;-22.87706;3.281883
33.77100;198.5194;1.995771;-22.87532;3.281948
33.77933;198.5618;1.995251;-22.87330;3.282037
33.78766;198.6054;1.994845;-22.87115;3.282138
33.79600;198.6468;1.994476;-22.86908;3.282230
33.80433;198.6926;1.994098;-22.86680;3.282340
33.81267;198.7341;1.993678;-22.86452;3.282450
33.82100;198.7716;1.993204;-22.86221;3.282562
33.82933;198.8174;1.992761;-22.85940;3.282716
33.83766;198.8553;1.992382;-22.85660;3.282870
33.84600;198.8970;1.991984;-22.85348;3.283051
33.85433;198.9437;1.991528;-22.85061;3.283210
33.86267;198.9874;1.990974;-22.84850;3.283306
33.87100;199.0210;1.990370;-22.84625;3.283412
33.87933;199.0662;1.989874;-22.84419;3.283506
33.88766;199.1103;1.989546;-22.84196;3.283610
33.89600;199.1489;1.989319;-22.83984;3.283709
33.90433;199.1939;1.989064;-22.83776;3.283802
33.91266;199.2337;1.988634;-22.83596;3.283871
33.92100;199.2786;1.988007;-22.83416;3.283942
33.92933;199.3196;1.987374;-22.83232;3.284014
33.93767;199.3621;1.986944;-22.83046;3.284089
33.94600;199.4015;1.986748;-22.82825;3.284194
33.95433;199.4466;1.986626;-22.82587;3.284312
33.96266;199.4809;1.986334;-22.82345;3.284434
33.97100;199.5278;1.985758;-22.82134;3.284530
33.97933;199.5706;1.985162;-22.81897;3.284647
33.98767;199.6092;1.984774;-22.81678;3.284750
33.99600;199.6546;1.984582;-22.81455;3.284856
34.00433;199.6950;1.984450;-22.81227;3.284967
34.01266;199.7354;1.984174;-22.81009;3.285068
34.02100;199.7798;1.983659;-22.80742;3.285211
34.02933;199.8165;1.983074;-22.80489;3.285344
34.03766;199.8613;1.982602;-22.80263;3.285453
34.04600;199.9037;1.982376;-22.80016;3.285578
34.05433;199.9451;1.982244;-22.79742;3.285727
34.06267;199.9891;1.981886;-22.79526;3.285828
34.07100;200.0264;1.981260;-22.79294;3.285940
34.07933;200.0762;1.980585;-22.79048;3.286065
34.08766;200.1171;1.980124;-22.78788;3.286202
34.09600;200.1579;1.979907;-22.78562;3.286339
34.10433;200.1999;1.979782;-22.78414;3.286425
34.11267;200.2402;1.979377;-22.78204;3.286546
34.12100;200.2853;1.978740;-22.78001;3.286654
34.12933;200.3268;1.978045;-22.77809;3.286731
34.13766;200.3662;1.977570;-22.77648;3.286764
34.14600;200.4048;1.977402;-22.77438;3.286826
34.15433;200.4490;1.977304;-22.77211;3.286894
34.16266;200.4872;1.976992;-22.76934;3.286983
34.17100;200.5314;1.976417;-22.76662;3.287063
34.17933;200.5727;1.975735;-22.76390;3.287126
34.18767;200.6144;1.975176;-22.76064;3.287233
34.19600;200.6570;1.974924;-22.75783;3.287302
34.20433;200.7022;1.974719;-22.75503;3.287375
34.21266;200.7402;1.974341;-22.75182;3.287472
34.22100;200.7799;1.973756;-22.74818;3.287608
34.22933;200.8262;1.973139;-22.74480;3.287730
34.23767;200.8632;1.972726;-22.74152;3.287830
34.24600;200.9041;1.972547;-22.73840;3.287921
34.25433;200.9468;1.972423;-22.73538;3.288007
34.26266;200.9869;1.972157;-22.73268;3.288064
34.27100;201.0314;1.971723;-22.72972;3.288150
34.27933;201.0716;1.971187;-22.72634;3.288262
34.28766;201.1128;1.970737;-22.72335;3.288345
34.29600;201.1572;1.970400;-22.72064;3.288407
34.30433;201.1942;1.970067;-22.71800;3.288455
34.31267;201.2388;1.969670;-22.71492;3.288550
34.32100;201.2805;1.969239;-22.71184;3.288639
34.32933;201.3214;1.968906;-22.70886;3.288716
34.33766;201.3664;1.968592;-22.70564;3.288820
34.34600;201.4075;1.968208;-22.70219;3.288938
34.35433;201.4508;1.967670;-22.69937;3.289004
34.36267;201.4902;1.967084;-22.69627;3.289089
34.37100;201.5308;1.966541;-22.69316;3.289175
34.37933;201.5721;1.966148;-22.69008;3.289264
34.38766;201.6165;1.965852;-22.68676;3.289374
34.39600;201.6569;1.965556;-22.68386;3.289441
34.40433;201.6996;1.965150;-22.68069;3.289537
34.41266;201.7393;1.964609;-22.67774;3.289610
34.42100;201.7820;1.964110;-22.67530;3.289644
34.42933;201.8244;1.963791;-22.67216;3.289738
34.43767;201.8609;1.963618;-22.66901;3.289824
34.44600;201.9071;1.963406;-22.66592;3.289920
34.45433;201.9472;1.963041;-22.66260;3.290023
34.46266;201.9909;1.962522;-22.65927;3.290133
34.47100;202.0334;1.962026;-22.65593;3.290240
34.47933;202.0694;1.961656;-22.65258;3.290342
34.48767;202.1111;1.961355;-22.64954;3.290428
34.49600;202.1568;1.961025;-22.64638;3.290526
34.50433;202.1998;1.960568;-22.64246;3.290682
34.51266;202.2427;1.960021;-22.63937;3.290769
34.52100;202.2818;1.959520;-22.63626;3.290852
34.52933;202.3269;1.959132;-22.63309;3.290947
34.53766;202.3685;1.958855;-22.62996;3.291032
34.54600;202.4085;1.958641;-22.62692;3.291110
34.55433;202.4553;1.958324;-22.62419;3.291172
34.56267;202.4942;1.957845;-22.62054;3.291294
34.57100;202.5361;1.957308;-22.61687;3.291424
34.57933;202.5740;1.956850;-22.61362;3.291515
34.58766;202.6187;1.956531;-22.61081;3.291580
34.59600;202.6634;1.956252;-22.60771;3.291666
34.60433;202.7034;1.955898;-22.60414;3.291785
34.61267;202.7458;1.955447;-22.60138;3.291841
34.62100;202.7843;1.954972;-22.59824;3.291926
34.62933;202.8281;1.954552;-22.59502;3.292022
34.63766;202.8658;1.954243;-22.59144;3.292143
34.64600;202.9097;1.953965;-22.58856;3.292214
34.65433;202.9524;1.953589;-22.58578;3.292272
34.66266;202.9968;1.953068;-22.58244;3.292378
34.67100;203.0330;1.952532;-22.57935;3.292454
34.67933;203.0744;1.952164;-22.57598;3.292562
34.68767;203.1176;1.951971;-22.57287;3.292652
34.69600;203.1600;1.951831;-22.56961;3.292750
34.70433;203.1991;1.951555;-22.56644;3.292836
34.71266;203.2428;1.951058;-22.56330;3.292926
34.72100;203.2828;1.950454;-22.56051;3.292984
34.72933;203.3234;1.949986;-22.55775;3.293036
34.73767;203.3702;1.949728;-22.55506;3.293094
34.74600;203.4110;1.949607;-22.55235;3.293142
34.75433;203.4520;1.949467;-22.54917;3.293230
34.76266;203.4945;1.949109;-22.54651;3.293275
34.77100;203.5330;1.948549;-22.54381;3.293318
34.77933;203.5763;1.947938;-22.54118;3.293364
34.78766;203.6176;1.947495;-22.53820;3.293436
34.79600;203.6581;1.947246;-22.53540;3.293491
34.80433;203.7020;1.947114;-22.53278;3.293536
34.81267;203.7450;1.946900;-22.53000;3.293589
34.82100;203.7849;1.946555;-22.52684;3.293673
34.82933;203.8239;1.946125;-22.52369;3.293756
34.83766;203.8690;1.945725;-22.52098;3.293811
34.84600;203.9121;1.945477;-22.51773;3.293906
34.85433;203.9502;1.945287;-22.51450;3.293991
34.86267;203.9911;1.944996;-22.51130;3.294080
34.87100;204.0332;1.944506;-22.50834;3.294150
34.87933;204.0734;1.943940;-22.50491;3.294255
34.88766;204.1164;1.943422;-22.50151;3.294363
34.89600;204.1606;1.943026;-22.49816;3.294470
34.90433;204.2064;1.942744;-22.49508;3.294551
34.91266;204.2469;1.942502;-22.49204;3.294622
34.92100;204.2866;1.942156;-22.48854;3.294730
34.92933;204.3284;1.941594;-22.48527;3.294822
34.93767;204.3712;1.940954;-22.48187;3.294928
34.94600;204.4045;1.940495;-22.47811;3.295048
34.95433;204.4472;1.940256;-22.47489;3.295141
34.96266;204.4918;1.940080;-22.47168;3.295233
34.97100;204.5349;1.939722;-22.46840;3.295328
34.97933;204.5754;1.939127;-22.46528;3.295406
34.98767;204.6149;1.938472;-22.46206;3.295495
34.99600;204.6588;1.937926;-22.45881;3.295592
35.00433;204.6996;1.937582;-22.45596;3.295650
35.01266;204.7430;1.937428;-22.45331;3.295695
35.02100;204.7824;1.937300;-22.45085;3.295719
35.02933;204.8244;1.937040;-22.44820;3.295760
35.03766;204.8695;1.936650;-22.44571;3.295788
35.04600;204.9106;1.936216;-22.44336;3.295800
35.05433;204.9524;1.935932;-22.44066;3.295844
35.06267;204.9949;1.935760;-22.43782;3.295900
35.07100;205.0395;1.935541;-22.43506;3.295949
35.07933;205.0826;1.935154;-22.43247;3.295981
35.08766;205.1185;1.934591;-22.42948;3.296038
35.09600;205.1621;1.934078;-22.42626;3.296126
35.10433;205.2040;1.933848;-22.42296;3.296216
35.11267;205.2466;1.933877;-22.42012;3.296270
35.12100;205.2917;1.933953;-22.41662;3.296380
35.12933;205.3321;1.933813;-22.41348;3.296454
35.13766;205.3737;1.933311;-22.41057;3.296512
35.14600;205.4159;1.932663;-22.40737;3.296594
35.15433;205.4598;1.932089;-22.40446;3.296655
35.16266;205.4998;1.931714;-22.40103;3.296754
35.17100;205.5423;1.931514;-22.39823;3.296802
35.17933;205.5851;1.931265;-22.39548;3.296846
35.18767;205.6259;1.930779;-22.39254;3.296903
35.19600;205.6600;1.930131;-22.38929;3.296979
35.20433;205.7076;1.929531;-22.38684;3.297010
35.21266;205.7486;1.929209;-22.38394;3.297067
35.22100;205.7920;1.929064;-22.38104;3.297125
35.22933;205.8334;1.928880;-22.37852;3.297152
35.23767;205.8728;1.928571;-22.37567;3.297202
35.24600;205.9145;1.928170;-22.37295;3.297246
35.25433;205.9577;1.927698;-22.36971;3.297334
35.26266;205.9982;1.927221;-22.36680;3.297394
35.27100;206.0428;1.926732;-22.36396;3.297448
35.27933;206.0877;1.926252;-22.36120;3.297494
35.28766;206.1292;1.925851;-22.35823;3.297551
35.29600;206.1657;1.925516;-22.35539;3.297594
35.30433;206.2089;1.925378;-22.35287;3.297622
35.31267;206.2498;1.925360;-22.34982;3.297688
35.32100;206.2916;1.925276;-22.34715;3.297725
35.32933;206.3352;1.924965;-22.34423;3.297783
35.33766;206.3731;1.924508;-22.34145;3.297822
35.34600;206.4195;1.924111;-22.33858;3.297881
35.35433;206.4591;1.923867;-22.33566;3.297934
35.36267;206.5006;1.923677;-22.33266;3.298000
35.37100;206.5394;1.923506;-22.32983;3.298048
35.37933;206.5847;1.923249;-22.32710;3.298095
35.38766;206.6273;1.922658;-22.32368;3.298193
35.39600;206.6647;1.921687;-22.32084;3.298236
35.40433;206.7072;1.920652;-22.31780;3.298306
35.41266;206.7496;1.920062;-22.31497;3.298355
35.42100;206.7924;1.920065;-22.31201;3.298416
35.42933;206.8339;1.920302;-22.30923;3.298460
35.43767;206.8770;1.920399;-22.30623;3.298525
35.44600;206.9196;1.920116;-22.30354;3.298560
35.45433;206.9581;1.919385;-22.30047;3.298622
35.46266;206.9995;1.918495;-22.29714;3.298712
35.47100;207.0459;1.917910;-22.29440;3.298760
35.47933;207.0868;1.917848;-22.29126;3.298828
35.48767;207.1298;1.917993;-22.28828;3.298886
35.49600;207.1688;1.917905;-22.28504;3.298960
35.50433;207.2090;1.917350;-22.28223;3.299004
35.51266;207.2531;1.916610;-22.27937;3.299056
35.52100;207.2928;1.916081;-22.27643;3.299108
35.52933;207.3344;1.915899;-22.27354;3.299160
35.53766;207.3764;1.915870;-22.27050;3.299225
35.54600;207.4201;1.915811;-22.26779;3.299262
35.55433;207.4581;1.915639;-22.26494;3.299304
35.56267;207.5040;1.915413;-22.26225;3.299345
35.57100;207.5494;1.915241;-22.25952;3.299388
35.57933;207.5867;1.915022;-22.25694;3.299406
35.58766;207.6266;1.914659;-22.25415;3.299445
35.59600;207.6660;1.914067;-22.25170;3.299457
35.60433;207.7122;1.913354;-22.24926;3.299478
35.61267;207.7535;1.912842;-22.24626;3.299534
35.62100;207.8014;1.912674;-22.24348;3.299580
35.62933;207.8416;1.912643;-22.24094;3.299595
35.63766;207.8809;1.912468;-22.23838;3.299611
35.64600;207.9189;1.912050;-22.23550;3.299655
35.65433;207.9618;1.911473;-22.23276;3.299694
35.66266;208.0035;1.910971;-22.23003;3.299733
35.67100;208.0490;1.910683;-22.22720;3.299780
35.67933;208.0874;1.910478;-22.22420;3.299829
35.68767;208.1295;1.910144;-22.22142;3.299868
35.69600;208.1681;1.909571;-22.21880;3.299891
35.70433;208.2134;1.908816;-22.21684;3.299870
35.71266;208.2502;1.908149;-22.21394;3.299916
35.72100;208.2939;1.907862;-22.21123;3.299958
35.72933;208.3325;1.907820;-22.20858;3.299983
35.73767;208.3744;1.907774;-22.20581;3.300024
35.74600;208.4179;1.907500;-22.20312;3.300059
35.75433;208.4598;1.906994;-22.20073;3.300070
35.76266;208.5006;1.906545;-22.19836;3.300076
35.77100;208.5435;1.906336;-22.19577;3.300101
35.77933;208.5845;1.906277;-22.19284;3.300151
35.78766;208.6237;1.906200;-22.18966;3.300222
35.79600;208.6672;1.905918;-22.18705;3.300250
35.80433;208.7101;1.905332;-22.18416;3.300298
35.81267;208.7492;1.904729;-22.18136;3.300335
35.82100;208.7938;1.904350;-22.17895;3.300344
35.82933;208.8367;1.904258;-22.17635;3.300368
35.83766;208.8769;1.904317;-22.17366;3.300394
35.84600;208.9216;1.904199;-22.17048;3.300467
35.85433;208.9633;1.903805;-22.16751;3.300519
35.86267;209.0058;1.903236;-22.16537;3.300500
35.87100;209.0452;1.902754;-22.16310;3.300490
35.87933;209.0846;1.902445;-22.16032;3.300522
35.88766;209.1266;1.902252;-22.15784;3.300534
35.89600;209.1694;1.902011;-22.15540;3.300542
35.90433;209.2117;1.901652;-22.15275;3.300568
35.91266;209.2543;1.901243;-22.15018;3.300586
35.92100;209.2920;1.900832;-22.14727;3.300630
35.92933;209.3391;1.900515;-22.14506;3.300626
35.93767;209.3800;1.900214;-22.14262;3.300631
35.94600;209.4208;1.899845;-22.14019;3.300638
35.95433;209.4628;1.899444;-22.13722;3.300690
35.96266;209.5045;1.899082;-22.13496;3.300680
35.97100;209.5422;1.898822;-22.13256;3.300678
35.97933;209.5859;1.898564;-22.13021;3.300681
35.98767;209.6262;1.898222;-22.12800;3.300668
35.99600;209.6692;1.897719;-22.12584;3.300655
36.00433;209.7103;1.897184;-22.12390;3.300620
36.01266;209.7510;1.896806;-22.12144;3.300628
36.02100;209.7940;1.896657;-22.11886;3.300650
36.02933;209.8358;1.896579;-22.11606;3.300687
36.03766;209.8796;1.896301;-22.11396;3.300669
36.04600;209.9195;1.895799;-22.11131;3.300690
36.05433;209.9617;1.895213;-22.10873;3.300708
36.06267;210.0035;1.894819;-22.10625;3.300716
36.07100;210.0474;1.894642;-22.10328;3.300766
36.07933;210.0908;1.894579;-22.10042;3.300806
36.08766;210.1302;1.894386;-22.09782;3.300818
36.09600;210.1712;1.893913;-22.09547;3.300812
36.10433;210.2117;1.893294;-22.09344;3.300782
36.11267;210.2510;1.892830;-22.09114;3.300772
36.12100;210.2964;1.892630;-22.08880;3.300774
36.12933;210.3382;1.892535;-22.08625;3.300788
36.13766;210.3814;1.892316;-22.08362;3.300809
36.14600;210.4243;1.891835;-22.08086;3.300838
36.15433;210.4660;1.891252;-22.07877;3.300812
36.16266;210.5059;1.890803;-22.07662;3.300789
36.17100;210.5492;1.890600;-22.07417;3.300796
36.17933;210.5890;1.890503;-22.07130;3.300832
36.18767;210.6297;1.890317;-22.06848;3.300865
36.19600;210.6726;1.889925;-22.06598;3.300872
36.20433;210.7160;1.889465;-22.06339;3.300889
36.21266;210.7568;1.889154;-22.06110;3.300876
36.22100;210.7960;1.888987;-22.05913;3.300840
36.22933;210.8362;1.888808;-22.05688;3.300826
36.23767;210.8788;1.888462;-22.05466;3.300815
36.24600;210.9177;1.887916;-22.05284;3.300766
36.25433;210.9632;1.887360;-22.05083;3.300742
36.26266;211.0036;1.887014;-22.04870;3.300719
36.27100;211.0483;1.886875;-22.04624;3.300726
36.27933;211.0885;1.886776;-22.04342;3.300757
36.28766;211.1313;1.886539;-22.04088;3.300769
36.29600;211.1737;1.886170;-22.03835;3.300781
36.30433;211.2138;1.885828;-22.03536;3.300825
36.31267;211.2596;1.885604;-22.03258;3.300858
36.32100;211.3008;1.885468;-22.02963;3.300896
36.32933;211.3426;1.885267;-22.02643;3.300956
36.33766;211.3799;1.884939;-22.02402;3.300947
36.34600;211.4246;1.884484;-22.02192;3.300922
36.35433;211.4658;1.884008;-22.01992;3.300886
36.36267;211.5102;1.883644;-22.01800;3.300845
36.37100;211.5480;1.883383;-22.01586;3.300816
36.37933;211.5883;1.883070;-22.01381;3.300783
36.38766;211.6342;1.882595;-22.01172;3.300760
36.39600;211.6750;1.882047;-22.00986;3.300711
36.40433;211.7198;1.881628;-22.00824;3.300650
36.41266;211.7594;1.881460;-22.00604;3.300626
36.42100;211.7990;1.881386;-22.00312;3.300660
36.42933;211.8437;1.881187;-22.00092;3.300644
36.43767;211.8828;1.880794;-21.99876;3.300616
36.44600;211.9250;1.880264;-21.99701;3.300562
36.45433;211.9644;1.879793;-21.99490;3.300531
36.46266;212.0066;1.879471;-21.99234;3.300540
36.47100;212.0498;1.879267;-21.99014;3.300522
36.47933;212.0910;1.879037;-21.98818;3.300482
36.48767;212.1307;1.878676;-21.98538;3.300510
36.49600;212.1726;1.878168;-21.98311;3.300498
36.50433;212.2127;1.877661;-21.98070;3.300494
36.51266;212.2545;1.877351;-21.97818;3.300503
36.52100;212.3036;1.877198;-21.97568;3.300517
36.52933;212.3421;1.877073;-21.97265;3.300558
36.53766;212.3858;1.876813;-21.97013;3.300562
36.54600;212.4294;1.876362;-21.96811;3.300527
36.55433;212.4687;1.875919;-21.96563;3.300522
36.56267;212.5085;1.875626;-21.96258;3.300566
36.57100;212.5552;1.875402;-21.96074;3.300519
36.57933;212.5924;1.875144;-21.95890;3.300457
36.58766;212.6377;1.874778;-21.95717;3.300398
36.59600;212.6816;1.874304;-21.95534;3.300342
36.60433;212.7204;1.873842;-21.95358;3.300278
36.61267;212.7615;1.873480;-21.95166;3.300230
36.62100;212.8039;1.873212;-21.94983;3.300178
36.62933;212.8456;1.872998;-21.94755;3.300161
36.63766;212.8871;1.872696;-21.94565;3.300113
36.64600;212.9285;1.872305;-21.94375;3.300063
36.65433;212.9741;1.871941;-21.94120;3.300073
36.66266;213.0138;1.871646;-21.93838;3.300095
36.67100;213.0548;1.871435;-21.93604;3.300080
36.67933;213.0944;1.871237;-21.93326;3.300103
36.68767;213.1342;1.870936;-21.93037;3.300136
36.69600;213.1735;1.870541;-21.92802;3.300122
36.70433;213.2177;1.870120;-21.92544;3.300136
36.71266;213.2598;1.869805;-21.92317;3.300120
36.72100;213.3050;1.869644;-21.92093;3.300104
36.72933;213.3449;1.869523;-21.91914;3.300042
36.73767;213.3876;1.869287;-21.91742;3.299982
36.74600;213.4247;1.868946;-21.91535;3.299944
36.75433;213.4638;1.868549;-21.91333;3.299906
36.76266;213.5025;1.868174;-21.91097;3.299895
36.77100;213.5468;1.867918;-21.90910;3.299849
36.77933;213.5902;1.867726;-21.90691;3.299829
36.78766;213.6294;1.867502;-21.90468;3.299803
36.79600;213.6687;1.867184;-21.90239;3.299786
36.80433;213.7126;1.866803;-21.89996;3.299788
36.81267;213.7508;1.866413;-21.89728;3.299804
36.82100;213.8002;1.866153;-21.89475;3.299820
36.82933;213.8422;1.865996;-21.89227;3.299817
36.83766;213.8836;1.865789;-21.88958;3.299830
36.84600;213.9226;1.865480;-21.88752;3.299787
36.85433;213.9664;1.865099;-21.88535;3.299759
36.86267;214.0098;1.864705;-21.88292;3.299752
36.87100;214.0506;1.864336;-21.88076;3.299719
36.87933;214.0897;1.863964;-21.87852;3.299689
36.88766;214.1314;1.863524;-21.87666;3.299633
36.89600;214.1722;1.863070;-21.87449;3.299600
36.90433;214.2162;1.862622;-21.87279;3.299536
36.91266;214.2610;1.862258;-21.87082;3.299494
36.92100;214.3033;1.862011;-21.86842;3.299481
36.92933;214.3398;1.861862;-21.86576;3.299484
36.93767;214.3849;1.861659;-21.86350;3.299465
36.94600;214.4223;1.861398;-21.86135;3.299428
36.95433;214.4698;1.861102;-21.85883;3.299435
36.96266;214.5068;1.860823;-21.85608;3.299446
36.97100;214.5515;1.860546;-21.85336;3.299463
36.97933;214.5940;1.860267;-21.85076;3.299465
36.98767;214.6294;1.859946;-21.84779;3.299490
36.99600;214.6724;1.859602;-21.84536;3.299486
37.00433;214.7134;1.859276;-21.84328;3.299450
37.01266;214.7570;1.859003;-21.84126;3.299411
37.02100;214.7982;1.858787;-21.83912;3.299378
37.02933;214.8388;1.858551;-21.83694;3.299347
37.03766;214.8826;1.858334;-21.83518;3.299287
37.04600;214.9235;1.858184;-21.83330;3.299231
37.05433;214.9663;1.858090;-21.83156;3.299168
37.06267;215.0048;1.857946;-21.82955;3.299120
37.07100;215.0458;1.857656;-21.82763;3.299070
37.07933;215.0900;1.857215;-21.82564;3.299025
37.08766;215.1333;1.856794;-21.82345;3.298996
37.09600;215.1736;1.856493;-21.82106;3.298980
37.10433;215.2141;1.856328;-21.81838;3.298989
37.11267;215.2530;1.856175;-21.81597;3.298975
37.12100;215.2976;1.855938;-21.81348;3.298977
37.12933;215.3379;1.855564;-21.81096;3.298976
37.13766;215.3826;1.855191;-21.80862;3.298968
37.14600;215.4244;1.854886;-21.80651;3.298937
37.15433;215.4684;1.854755;-21.80437;3.298910
37.16266;215.5097;1.854681;-21.80168;3.298925
37.17100;215.5508;1.854464;-21.79902;3.298940
37.17933;215.5924;1.853986;-21.79674;3.298926
37.18767;215.6356;1.853406;-21.79502;3.298868
37.19600;215.6740;1.853015;-21.79295;3.298832
37.20433;215.7165;1.852837;-21.79047;3.298835
37.21266;215.7551;1.852750;-21.78816;3.298818
37.22100;215.7947;1.852510;-21.78562;3.298825
37.22933;215.8408;1.852107;-21.78308;3.298841
37.23767;215.8799;1.851595;-21.78020;3.298875
37.24600;215.9242;1.851138;-21.77793;3.298867
37.25433;215.9682;1.850854;-21.77591;3.298836
37.26266;216.0095;1.850700;-21.77352;3.298828
37.27100;216.0501;1.850534;-21.77089;3.298843
37.27933;216.0966;1.850234;-21.76851;3.298842
37.28766;216.1377;1.849800;-21.76678;3.298779
37.29600;216.1750;1.849294;-21.76504;3.298714
37.30433;216.2172;1.848884;-21.76311;3.298669
37.31267;216.2578;1.848638;-21.76111;3.298628
37.32100;216.2972;1.848485;-21.75910;3.298588
37.32933;216.3441;1.848329;-21.75774;3.298504
37.33766;216.3818;1.848107;-21.75588;3.298450
37.34600;216.4250;1.847802;-21.75429;3.298384
37.35433;216.4646;1.847439;-21.75275;3.298306
37.36267;216.5044;1.847074;-21.75078;3.298267
37.37100;216.5453;1.846734;-21.74884;3.298229
37.37933;216.5870;1.846456;-21.74674;3.298204
37.38766;216.6298;1.846194;-21.74465;3.298178
37.39600;216.6731;1.845895;-21.74261;3.298145
37.40433;216.7140;1.845538;-21.74105;3.298070
37.41266;216.7565;1.845152;-21.73906;3.298035
37.42100;216.8004;1.844784;-21.73736;3.297974
