t; T; m; Hf; dT; uV; Purge
6.66667E-4;35.59554;6.646516;26.00795;0.07066321;0.4898926;99.98756
.004333333;35.58970;6.646272;26.00431;0.07041245;0.4881186;99.98170
0.01266666;35.57873;6.645924;26.00488;0.07045616;0.4884190;100.0942
0.02100000;35.57280;6.645556;26.00538;0.07049592;0.4886903;99.94006
0.02933333;35.57068;6.645524;26.00610;0.07055206;0.4890742;99.94178
0.03766667;35.56692;6.646158;26.00696;0.07061929;0.4895350;100.0686
0.04600000;35.55790;6.647265;26.00755;0.07066656;0.4898558;99.97519
0.05433334;35.55030;6.647832;26.00824;0.07072246;0.4902350;100.0338
0.06266666;35.54895;6.647825;26.00900;0.07078382;0.4906509;99.94844
0.07100000;35.54716;6.647331;26.00970;0.07084146;0.4910412;100.0227
0.07933334;35.53916;6.646968;26.01016;0.07088108;0.4913054;100.0032
0.08766666;35.53562;6.647205;26.01020;0.07088970;0.4913550;100.0116
0.09600000;35.52581;6.647382;26.00976;0.07086260;0.4911567;99.97589
0.1043333;35.51978;6.647468;26.00923;0.07082843;0.4909104;100.0094
0.1126666;35.51322;6.647392;26.00860;0.07078732;0.4906150;100.0195
0.1210000;35.50988;6.646826;26.00795;0.07074516;0.4903118;99.99932
0.1293333;35.50453;6.645694;26.00690;0.07067222;0.4897963;99.99097
0.1376667;35.49798;6.645218;26.00618;0.07062410;0.4894531;99.99330
0.1460000;35.50408;6.645619;26.00540;0.07057044;0.4890724;100.0241
0.1543334;35.49605;6.646450;26.00442;0.07050334;0.4885982;99.97894
0.1626666;35.49144;6.646947;26.00308;0.07040842;0.4879313;100.0032
0.1710000;35.48772;6.646787;26.00198;0.07033142;0.4873890;99.94119
0.1793333;35.48558;6.646270;26.00082;0.07024966;0.4868143;100.0852
0.1876666;35.48696;6.646122;25.99944;0.07015107;0.4861242;99.96292
0.1960000;35.47630;6.646152;25.99808;0.07005249;0.4854346;100.0078
0.2043333;35.47302;6.646360;25.99646;0.06993600;0.4846211;99.98103
0.2126666;35.47774;6.646809;25.99504;0.06983337;0.4839038;100.0212
0.2210000;35.47609;6.647000;25.99334;0.06970984;0.4830433;99.99169
0.2293333;35.47190;6.646714;25.99144;0.06957061;0.4820736;100.0215
0.2376666;35.46800;6.646419;25.98924;0.06941009;0.4809559;99.97122
0.2460000;35.47153;6.646380;25.98722;0.06926224;0.4799272;100.0503
0.2543334;35.46928;6.646499;25.98488;0.06909018;0.4787312;99.94644
0.2626667;35.46497;6.646796;25.98271;0.06893081;0.4776238;99.99956
0.2710000;35.46782;6.646982;25.98037;0.06875876;0.4764278;100.0346
0.2793333;35.46682;6.647006;25.97764;0.06855716;0.4750284;99.99334
0.2876667;35.46844;6.646828;25.97473;0.06834095;0.4735291;100.0139
0.2960000;35.46875;6.646606;25.97216;0.06815061;0.4722092;99.97225
0.3043333;35.46376;6.646612;25.96884;0.06790468;0.4705033;100.0184
0.3126666;35.46812;6.646690;25.96565;0.06766839;0.4688645;100.0095
0.3210000;35.47280;6.646748;25.96222;0.06741281;0.4670938;100.0106
0.3293334;35.46555;6.646744;25.95890;0.06716594;0.4653832;100.0054
0.3376666;35.46970;6.646710;25.95518;0.06689008;0.4634713;99.94124
0.3460000;35.47010;6.646674;25.95168;0.06662906;0.4616631;100.0340
0.3543334;35.47558;6.646594;25.94806;0.06635937;0.4597957;100.0151
0.3626666;35.48203;6.646588;25.94381;0.06604175;0.4575974;99.98884
0.3710000;35.48617;6.646705;25.93987;0.06574652;0.4555545;100.0035
0.3793334;35.48568;6.646806;25.93535;0.06540910;0.4532190;99.99756
0.3876666;35.49578;6.646789;25.93126;0.06510250;0.4510992;99.98839
0.3960000;35.49984;6.646665;25.92674;0.06476226;0.4487472;100.0100
0.4043333;35.49990;6.646457;25.92294;0.06447726;0.4467772;99.94785
0.4126667;35.51114;6.646472;25.91806;0.06411023;0.4442402;100.0316
0.4210000;35.50934;6.646608;25.91317;0.06374232;0.4416983;100.0074
0.4293333;35.51528;6.646684;25.90783;0.06334052;0.4389211;100.0067
0.4376666;35.51994;6.646625;25.90274;0.06295771;0.4362757;99.96820
0.4460000;35.52604;6.646349;25.89769;0.06257768;0.4336494;100.0439
0.4543334;35.53708;6.646124;25.89194;0.06214520;0.4306600;99.98985
0.4626666;35.54646;6.646176;25.88602;0.06169939;0.4275802;99.99962
0.4710000;35.55216;6.646388;25.87953;0.06121079;0.4242032;100.0320
0.4793334;35.56290;6.646650;25.87362;0.06076552;0.4211270;99.95608
0.4876666;35.56108;6.646781;25.86674;0.06024734;0.4175456;99.98966
0.4960000;35.57138;6.646688;25.86048;0.05977652;0.4142922;100.0754
0.5043333;35.58096;6.646609;25.85392;0.05928201;0.4108750;99.95876
0.5126667;35.58603;6.646551;25.84712;0.05876918;0.4073317;100.0025
0.5210000;35.59535;6.646692;25.83999;0.05823157;0.4036171;99.99238
0.5293334;35.60693;6.646940;25.83293;0.05769890;0.3999371;99.96258
0.5376668;35.61950;6.647038;25.82565;0.05714960;0.3961417;100.0052
0.5460000;35.62961;6.646899;25.81861;0.05661802;0.3924694;100.0194
0.5543332;35.64162;6.646805;25.81144;0.05607629;0.3887268;100.0058
0.5626668;35.65266;6.646724;25.80312;0.05544906;0.3843916;100.0066
0.5710000;35.66981;6.646799;25.79485;0.05482488;0.3800790;100.0130
0.5793332;35.67546;6.646943;25.78588;0.05414736;0.3753970;99.96069
0.5876668;35.69128;6.646974;25.77724;0.05349511;0.3708899;100.0077
0.5960000;35.70699;6.646951;25.76812;0.05280560;0.3661259;100.0092
0.6043334;35.71696;6.646810;25.75875;0.05209800;0.3612361;99.97595
0.6126668;35.73086;6.646805;25.74958;0.05140393;0.3564402;99.95952
0.6210000;35.74760;6.646919;25.74009;0.05068678;0.3514841;100.0948
0.6293332;35.76269;6.647074;25.73082;0.04998604;0.3466421;99.97090
0.6376668;35.78114;6.647078;25.72108;0.04924930;0.3415504;100.0132
0.6460000;35.79256;6.647058;25.71085;0.04847516;0.3361997;99.98370
0.6543334;35.81321;6.646938;25.70082;0.04771658;0.3309562;100.0418
0.6626668;35.82224;6.646819;25.69100;0.04697304;0.3258171;99.97957
0.6710000;35.84458;6.646532;25.68067;0.04619162;0.3204152;99.96094
0.6793334;35.85672;6.645910;25.67019;0.04539928;0.3149364;100.0398
0.6876666;35.88089;6.645761;25.65911;0.04456122;0.3091412;99.96534
0.6960000;35.89502;6.645657;25.64754;0.04368652;0.3030917;100.0066
0.7043334;35.91618;6.645934;25.63574;0.04279461;0.2969222;99.97716
