t; T; m; Hf; dT; uV; Purge
.002066666;27.67384;9.092656;15.78754;-0.7046800;-4.736874;100.0184
.004333333;27.71300;9.092481;15.81873;-0.7021934;-4.721041;100.0173
0.01266666;27.75676;9.092281;15.82383;-0.7017878;-4.718454;99.96981
0.02100000;27.79879;9.092070;15.83190;-0.7011456;-4.714357;100.0273
0.02933333;27.83488;9.091887;15.84301;-0.7002624;-4.708708;99.98551
0.03766667;27.88134;9.091800;15.85689;-0.6991601;-4.701660;100.0034
0.04600000;27.92138;9.091790;15.87346;-0.6978430;-4.693248;100.0116
0.05433334;27.96452;9.091845;15.89234;-0.6963405;-4.683663;100.0054
0.06266666;28.00224;9.091816;15.91373;-0.6946384;-4.672804;99.99375
0.07100000;28.03812;9.091894;15.93843;-0.6926751;-4.660257;99.96528
0.07933334;28.07945;9.091855;15.96576;-0.6905054;-4.646380;100.0220
0.08766666;28.11825;9.091772;15.99381;-0.6882782;-4.632130;100.0019
0.09600000;28.15884;9.091782;16.02174;-0.6860618;-4.617942;99.97704
0.1043333;28.19551;9.091705;16.04986;-0.6838325;-4.603656;100.0032
0.1126666;28.23215;9.091642;16.07802;-0.6816009;-4.589344;100.0360
0.1210000;28.27874;9.091601;16.10572;-0.6794046;-4.575270;99.99353
0.1293333;28.31159;9.091522;16.13362;-0.6771957;-4.561096;99.99725
0.1376667;28.35841;9.091464;16.16196;-0.6749532;-4.546689;99.97306
0.1460000;28.38525;9.091452;16.19025;-0.6727166;-4.532310;100.0222
0.1543334;28.42168;9.091360;16.21806;-0.6705170;-4.518171;99.97891
0.1626666;28.45655;9.091363;16.24595;-0.6683142;-4.503996;100.0237
0.1710000;28.49488;9.091303;16.27351;-0.6661376;-4.489984;100.0200
0.1793333;28.53575;9.091212;16.30119;-0.6639514;-4.475910;99.99041
0.1876666;28.57400;9.091238;16.32849;-0.6617954;-4.462034;99.98306
0.1960000;28.60938;9.091210;16.35536;-0.6596728;-4.448379;100.0366
0.2043333;28.64471;9.091284;16.38281;-0.6575076;-4.434422;99.97549
