T, k=0.100000 A0=0.500000 C0=0.000010, 0, 0
24.6, 0.043148, 0.110886, 0.389124
24.7, 0.041929, 0.106571, 0.393439
24.8, 0.040709, 0.102378, 0.397632
24.9, 0.039490, 0.098308, 0.401702
25.0, 0.038277, 0.094358, 0.405652
25.1, 0.037070, 0.090531, 0.409479
25.2, 0.035874, 0.086824, 0.413186
25.3, 0.034691, 0.083236, 0.416774
25.4, 0.033522, 0.079767, 0.420243
25.5, 0.032369, 0.076415, 0.423595
25.6, 0.031235, 0.073178, 0.426832
25.7, 0.030120, 0.070055, 0.429955
25.8, 0.029027, 0.067043, 0.432967
25.9, 0.027957, 0.064140, 0.435870
26.0, 0.026910, 0.061344, 0.438666
26.1, 0.025887, 0.058653, 0.441357
26.2, 0.024890, 0.056065, 0.443945
26.3, 0.023918, 0.053576, 0.446434
26.4, 0.022973, 0.051184, 0.448826
26.5, 0.022054, 0.048887, 0.451123
26.6, 0.021162, 0.046681, 0.453329
26.7, 0.020297, 0.044565, 0.455445
26.8, 0.019459, 0.042535, 0.457475
26.9, 0.018648, 0.040589, 0.459421
27.0, 0.017863, 0.038725, 0.461285
27.1, 0.017105, 0.036938, 0.463072
27.2, 0.016373, 0.035228, 0.464782
27.3, 0.015667, 0.033591, 0.466419
27.4, 0.014987, 0.032024, 0.467986
27.5, 0.014331, 0.030525, 0.469485
27.6, 0.013700, 0.029092, 0.470918
27.7, 0.013093, 0.027722, 0.472288
27.8, 0.012509, 0.026413, 0.473597
27.9, 0.011948, 0.025162, 0.474848
28.0, 0.011409, 0.023967, 0.476043
28.1, 0.010892, 0.022826, 0.477184
28.2, 0.010396, 0.021737, 0.478273
28.3, 0.009920, 0.020697, 0.479313
28.4, 0.009465, 0.019705, 0.480305
28.5, 0.009028, 0.018759, 0.481251
28.6, 0.008609, 0.017856, 0.482154
28.7, 0.008209, 0.016995, 0.483015
28.8, 0.007826, 0.016174, 0.483836
28.9, 0.007459, 0.015392, 0.484618
29.0, 0.007109, 0.014646, 0.485364
29.1, 0.006773, 0.013935, 0.486075
29.2, 0.006453, 0.013258, 0.486752
29.3, 0.006147, 0.012612, 0.487398
29.4, 0.005855, 0.011997, 0.488013
29.5, 0.005576, 0.011412, 0.488598
29.6, 0.005309, 0.010854, 0.489156
29.7, 0.005055, 0.010323, 0.489687
29.8, 0.004813, 0.009818, 0.490192
29.9, 0.004581, 0.009337, 0.490673
30.0, 0.004361, 0.008879, 0.491131
30.1, 0.004150, 0.008442, 0.491568
30.2, 0.003949, 0.008027, 0.491983
30.3, 0.003758, 0.007633, 0.492377
30.4, 0.003576, 0.007257, 0.492753
30.5, 0.003402, 0.006899, 0.493111
30.6, 0.003237, 0.006559, 0.493451
30.7, 0.003079, 0.006235, 0.493775
30.8, 0.002929, 0.005927, 0.494083
30.9, 0.002786, 0.005635, 0.494375
31.0, 0.002649, 0.005356, 0.494654
31.1, 0.002520, 0.005091, 0.494919
31.2, 0.002396, 0.004839, 0.495171
31.3, 0.002279, 0.004599, 0.495411
31.4, 0.002167, 0.004372, 0.495638
31.5, 0.002060, 0.004155, 0.495855
31.6, 0.001959, 0.003949, 0.496061
31.7, 0.001862, 0.003753, 0.496257
31.8, 0.001771, 0.003567, 0.496443
31.9, 0.001683, 0.003390, 0.496620
32.0, 0.001600, 0.003221, 0.496789
32.1, 0.001521, 0.003061, 0.496949
32.2, 0.001446, 0.002909, 0.497101
32.3, 0.001375, 0.002765, 0.497245
32.4, 0.001307, 0.002627, 0.497383
32.5, 0.001242, 0.002496, 0.497514
32.6, 0.001181, 0.002372, 0.497638
32.7, 0.001122, 0.002254, 0.497756
32.8, 0.001066, 0.002142, 0.497868
32.9, 0.001014, 0.002035, 0.497975
33.0, 0.000963, 0.001934, 0.498076
33.1, 0.000915, 0.001838, 0.498172
33.2, 0.000870, 0.001746, 0.498264
33.3, 0.000827, 0.001659, 0.498351
33.4, 0.000786, 0.001576, 0.498434
33.5, 0.000747, 0.001498, 0.498512
33.6, 0.000710, 0.001423, 0.498587
33.7, 0.000674, 0.001352, 0.498658
33.8, 0.000641, 0.001285, 0.498725
33.9, 0.000609, 0.001221, 0.498789
34.0, 0.000579, 0.001160, 0.498850
34.1, 0.000550, 0.001102, 0.498908
34.2, 0.000522, 0.001047, 0.498963
34.3, 0.000496, 0.000995, 0.499015
